Date,Open,High,Low,Close,Volume
2025-03-02,165.79,171.09,158.55,167.23,50000
2025-03-01,172.40,177.41,170.44,173.93,380525
2025-02-28,180.06,187.38,175.29,183.39,50000
2025-02-27,187.26,189.22,182.92,185.64,50000
2025-02-26,183.79,187.75,181.59,183.45,50000
2025-02-25,174.10,179.40,171.97,175.10,294688
2025-02-24,175.92,177.05,170.51,173.05,194673
2025-02-23,173.85,178.93,171.55,178.76,50000
2025-02-22,172.83,176.39,169.70,172.19,780764
2025-02-21,175.25,179.57,172.19,177.49,507416
2025-02-20,174.23,176.32,170.67,172.89,745202
2025-02-19,172.34,172.96,163.47,168.49,431986
2025-02-18,171.26,172.65,166.30,169.92,1056749
2025-02-17,169.90,173.44,168.68,170.18,50000
2025-02-16,176.27,177.50,174.18,175.81,144342
2025-02-15,176.09,185.02,172.95,179.77,79759
2025-02-14,175.12,176.13,171.72,175.27,50000
2025-02-13,175.32,177.15,166.26,174.32,50000
2025-02-12,171.84,173.44,171.23,171.38,50000
2025-02-11,170.00,174.43,165.88,172.26,50000
2025-02-10,166.68,172.62,166.33,169.86,50000
2025-02-09,171.88,178.59,167.27,176.93,180261
2025-02-08,175.14,179.95,162.65,172.31,50000
2025-02-07,178.05,181.96,173.02,181.22,50000
2025-02-06,182.10,184.36,176.10,179.68,590025
2025-02-05,178.73,188.88,171.98,174.13,50000
2025-02-04,172.84,175.62,168.89,172.06,50000
2025-02-03,171.18,175.66,170.11,172.55,105088
2025-02-02,178.73,183.00,175.96,181.07,293795
2025-02-01,177.63,183.62,174.17,181.22,1300717
2025-01-31,180.50,183.59,173.51,177.18,761944
2025-01-30,175.91,182.20,175.31,178.78,364311
2025-01-29,180.09,180.60,175.38,179.61,148751
2025-01-28,178.84,179.44,172.75,176.60,138149
2025-01-27,178.37,180.59,173.27,175.34,50000
2025-01-26,177.45,183.34,170.65,175.95,197298
2025-01-25,174.96,175.71,169.70,174.11,344405
2025-01-24,177.12,182.15,169.80,181.26,231828
2025-01-23,180.27,181.57,178.30,180.03,67644
2025-01-22,179.44,184.03,178.54,183.67,952286
2025-01-21,186.77,190.50,175.38,180.17,50000
2025-01-20,180.36,185.13,175.20,182.03,50000
2025-01-19,184.02,185.50,182.67,183.18,91533
2025-01-18,179.97,184.81,172.38,173.57,50000
2025-01-17,167.54,170.87,166.44,170.21,611876
2025-01-16,172.49,174.25,165.92,172.04,50000
2025-01-15,174.02,183.25,173.74,181.00,272354
2025-01-14,182.96,193.54,178.53,184.57,84388
2025-01-13,182.93,187.68,181.30,182.94,50000
2025-01-12,178.06,179.94,176.58,177.24,383987
2025-01-11,176.38,182.17,174.36,179.38,50000
2025-01-10,177.69,180.70,168.73,171.44,50000
2025-01-09,176.62,180.47,174.47,178.12,50000
2025-01-08,174.90,182.16,172.18,172.68,948995
2025-01-07,177.31,190.26,176.01,181.36,201551
2025-01-06,184.12,190.66,181.74,189.09,50000
2025-01-05,187.58,196.34,183.56,192.07,50000
2025-01-04,190.73,198.39,187.06,190.86,50000
2025-01-03,196.64,200.57,190.19,193.63,483597
2025-01-02,194.83,197.92,190.46,197.39,50000
2025-01-01,197.32,205.45,195.35,203.52,50000
2024-12-31,207.77,217.15,205.74,214.52,94688
2024-12-30,216.38,216.78,210.11,211.59,50000
2024-12-29,214.18,215.18,204.85,209.49,50000
2024-12-28,220.42,223.50,215.00,219.56,180771
2024-12-27,222.20,222.31,212.97,216.80,722751
2024-12-26,218.34,225.51,211.47,220.73,147753
2024-12-25,218.32,226.48,208.37,221.24,50000
2024-12-24,218.24,223.42,213.37,218.50,1009763
2024-12-23,214.49,215.41,210.70,214.02,314952
2024-12-22,215.63,217.90,210.76,216.08,50000
2024-12-21,219.28,219.33,211.88,213.11,50000
2024-12-20,218.21,220.66,206.67,220.13,50000
2024-12-19,222.09,222.68,217.21,221.20,969668
2024-12-18,215.10,218.09,213.86,215.26,50000
2024-12-17,217.74,222.86,204.71,213.89,432711
2024-12-16,211.84,216.75,208.61,210.88,555745
2024-12-15,214.09,214.20,209.20,209.74,203209
2024-12-14,214.04,217.22,212.95,216.14,565418
2024-12-13,216.27,217.00,210.57,216.87,820211
2024-12-12,218.45,220.43,215.21,215.68,50000
2024-12-11,214.73,224.49,213.95,216.77,328420
2024-12-10,207.44,216.06,199.44,215.54,372137
2024-12-09,217.32,222.19,206.29,206.60,766304
2024-12-08,200.87,205.59,191.88,201.26,50000
2024-12-07,205.50,220.15,201.97,211.79,50000
2024-12-06,209.37,214.72,207.43,213.46,50000
2024-12-05,219.83,227.92,215.67,220.93,1209966
2024-12-04,221.69,226.69,221.37,224.28,673491
2024-12-03,225.25,227.97,219.24,221.18,50000
2024-12-02,217.45,218.46,213.61,214.85,656342
2024-12-01,222.53,230.54,221.42,229.80,437927
2024-11-30,228.95,231.68,222.78,230.75,306665
2024-11-29,229.99,230.82,219.66,224.65,54272
2024-11-28,221.35,227.11,218.31,226.00,316696
2024-11-27,224.22,236.87,218.53,235.52,897555
2024-11-26,236.96,237.93,234.77,237.40,266634
2024-11-25,237.49,238.77,228.91,232.88,50000
2024-11-24,233.17,237.44,228.07,235.76,988320
2024-11-23,236.39,249.19,233.13,243.79,50000
