Date,Open,High,Low,Close,Volume
2025-03-02,172.79,176.88,170.74,171.42,75836
2025-03-01,169.63,176.56,168.33,172.02,498230
2025-02-28,165.45,170.89,162.64,165.19,141883
2025-02-27,161.76,166.26,160.37,162.75,50000
2025-02-26,160.48,164.79,158.34,162.53,50000
2025-02-25,164.11,164.53,160.65,162.93,708283
2025-02-24,171.66,176.39,165.93,170.38,50000
2025-02-23,168.27,171.69,164.98,168.56,815617
2025-02-22,167.43,177.04,158.85,165.07,50000
2025-02-21,168.02,176.02,167.94,173.26,159793
2025-02-20,173.66,177.63,170.18,174.62,50000
2025-02-19,175.89,181.40,166.33,172.46,771738
2025-02-18,175.83,177.07,174.78,176.42,326128
2025-02-17,177.93,178.20,176.09,176.78,50000
2025-02-16,178.92,187.80,175.82,179.29,50000
2025-02-15,181.87,190.91,178.01,184.40,50000
2025-02-14,182.57,187.99,180.33,184.69,184534
2025-02-13,189.18,195.97,186.15,192.71,50000
2025-02-12,194.52,205.47,190.30,199.59,137635
2025-02-11,198.45,210.41,196.98,203.68,50000
2025-02-10,204.86,211.70,201.44,210.54,1234053
2025-02-09,213.03,214.92,201.38,210.02,861196
2025-02-08,214.26,222.10,210.80,217.61,1022591
2025-02-07,216.92,222.31,212.24,215.96,471694
2025-02-06,212.91,215.62,208.13,214.97,150231
2025-02-05,214.58,219.00,210.14,213.76,261134
2025-02-04,211.27,213.87,205.51,206.08,50000
2025-02-03,215.17,220.10,212.58,216.81,524821
2025-02-02,221.83,225.36,213.75,216.20,50000
2025-02-01,220.10,221.02,210.99,216.97,50000
2025-01-31,213.34,219.22,210.22,215.85,278000
2025-01-30,214.24,220.49,210.48,216.48,452776
2025-01-29,219.18,222.28,219.14,219.15,1054668
2025-01-28,221.74,226.61,213.63,223.68,341802
2025-01-27,225.49,243.52,221.20,227.12,682701
2025-01-26,223.81,235.87,221.93,231.36,623882
2025-01-25,231.61,234.86,222.98,228.59,50000
2025-01-24,225.86,231.36,223.53,226.58,482477
2025-01-23,232.29,243.87,229.84,239.49,50000
2025-01-22,249.28,257.96,246.79,254.02,895625
2025-01-21,250.47,251.94,237.47,240.02,50000
2025-01-20,243.60,256.22,242.89,253.68,50000
2025-01-19,238.95,245.68,234.07,239.38,50000
2025-01-18,236.62,248.65,221.12,242.80,50000
2025-01-17,240.88,241.24,236.56,239.80,1367625
2025-01-16,241.36,246.74,240.86,243.15,50000
2025-01-15,244.12,253.30,244.11,247.87,156388
2025-01-14,236.82,240.33,231.39,236.85,110384
2025-01-13,231.53,231.63,227.93,228.96,426470
2025-01-12,231.66,239.82,230.10,230.65,629309
2025-01-11,229.75,238.81,228.52,233.89,50000
2025-01-10,227.39,231.97,215.29,222.34,304273
2025-01-09,216.51,217.29,211.84,215.72,153033
2025-01-08,207.71,212.38,205.26,212.10,50000
2025-01-07,215.81,217.19,202.62,204.76,50000
2025-01-06,201.47,205.45,196.24,199.81,50000
2025-01-05,192.57,194.42,185.70,189.68,991029
2025-01-04,197.83,202.68,197.12,200.99,343539
2025-01-03,190.61,194.31,182.04,186.08,858929
2025-01-02,184.88,191.76,183.33,190.00,50000
2025-01-01,190.55,194.87,190.18,191.71,50000
2024-12-31,193.47,197.45,193.45,195.49,1485708
2024-12-30,200.55,202.60,196.07,196.69,1145641
2024-12-29,205.52,207.41,198.47,198.72,50000
2024-12-28,205.76,211.67,202.71,209.99,235371
2024-12-27,203.73,207.26,195.75,199.79,1068801
2024-12-26,201.05,204.28,185.48,194.84,207819
2024-12-25,202.43,204.83,200.01,202.33,247282
2024-12-24,193.91,201.64,187.53,200.04,210494
2024-12-23,201.28,210.07,200.57,203.69,966546
2024-12-22,203.23,204.59,197.15,203.27,594241
2024-12-21,209.36,215.98,204.06,209.83,50000
2024-12-20,214.93,220.80,214.68,217.98,1013591
2024-12-19,216.86,219.81,216.37,217.88,520890
2024-12-18,216.10,223.33,211.64,214.70,50000
2024-12-17,211.38,212.20,206.99,208.83,50000
2024-12-16,216.01,226.23,211.23,218.08,196938
2024-12-15,214.78,220.83,209.17,220.06,50000
2024-12-14,219.55,224.53,214.77,216.34,50000
2024-12-13,214.37,218.71,213.12,215.64,50000
2024-12-12,217.62,226.82,214.17,217.51,644026
2024-12-11,214.64,220.69,206.38,215.69,487045
2024-12-10,213.25,217.95,209.18,217.12,427555
2024-12-09,214.76,215.43,208.53,211.33,50000
2024-12-08,203.65,205.63,196.52,197.94,50000
2024-12-07,199.02,206.23,198.19,200.97,584333
2024-12-06,198.31,198.75,188.51,191.59,109730
2024-12-05,188.46,190.06,178.63,189.92,50000
2024-12-04,194.09,199.46,188.11,196.68,110830
2024-12-03,195.03,199.27,190.30,191.27,50000
2024-12-02,186.83,191.49,184.13,185.37,50000
2024-12-01,181.34,197.23,173.00,190.10,50000
2024-11-30,195.90,204.75,195.57,199.77,50000
2024-11-29,200.61,209.98,196.03,199.89,50000
2024-11-28,205.41,211.95,205.37,208.46,83208
2024-11-27,211.98,224.90,203.12,214.75,142509
2024-11-26,214.91,217.44,206.80,209.96,50000
2024-11-25,209.22,212.99,203.94,210.58,79493
2024-11-24,212.56,215.07,207.71,213.19,176386
2024-11-23,210.16,211.91,205.43,207.00,770081
