Date,Open,High,Low,Close,Volume
2025-03-02,374.00,374.58,365.87,369.35,333328
2025-03-01,370.82,381.14,353.95,358.21,50000
2025-02-28,358.16,381.42,356.78,371.70,811360
2025-02-27,384.02,395.50,376.55,390.57,50000
2025-02-26,380.40,389.56,359.79,378.07,50000
2025-02-25,366.82,377.50,359.26,366.62,50000
2025-02-24,363.01,368.00,336.32,345.05,860533
2025-02-23,337.94,341.80,332.82,334.08,877031
2025-02-22,329.25,345.66,328.91,334.14,440907
2025-02-21,346.81,356.58,338.00,350.96,275189
2025-02-20,346.96,366.43,342.80,354.61,330156
2025-02-19,348.78,365.32,346.71,361.55,925243
2025-02-18,365.27,377.03,352.73,363.83,480010
2025-02-17,369.75,371.57,360.66,369.20,50000
2025-02-16,377.61,381.68,373.12,377.25,1106645
2025-02-15,380.23,394.61,379.71,392.07,50000
2025-02-14,402.74,403.56,397.33,400.00,55765
2025-02-13,401.21,406.65,387.82,403.21,50000
2025-02-12,402.10,413.03,389.87,398.48,522173
2025-02-11,400.67,409.88,392.99,407.12,427032
2025-02-10,410.12,431.81,399.86,425.51,50000
2025-02-09,432.80,448.61,415.77,437.24,382688
2025-02-08,439.17,445.68,426.22,431.79,242714
2025-02-07,437.82,449.38,406.17,413.96,242561
2025-02-06,410.40,433.83,398.87,424.69,50000
2025-02-05,415.38,417.64,402.55,407.99,50000
2025-02-04,404.43,412.56,400.52,409.28,102924
2025-02-03,402.51,412.32,399.49,404.54,339121
2025-02-02,401.52,401.91,388.98,395.83,1069776
2025-02-01,396.61,405.28,393.37,397.72,192496
2025-01-31,398.24,406.69,397.74,405.11,910710
2025-01-30,406.76,412.21,399.63,404.17,504534
2025-01-29,402.73,405.66,400.38,403.99,50000
2025-01-28,393.46,407.44,375.63,381.53,385606
2025-01-27,383.83,399.11,370.78,387.14,484092
2025-01-26,388.70,398.38,379.52,389.12,269394
2025-01-25,396.08,401.58,386.69,387.27,50000
2025-01-24,385.80,404.02,378.28,400.74,768160
2025-01-23,414.35,415.20,400.27,400.48,107396
2025-01-22,399.25,413.70,378.42,386.67,247669
2025-01-21,392.69,400.81,367.77,385.25,1269633
2025-01-20,371.27,388.54,366.11,370.11,50000
2025-01-19,367.37,379.79,352.02,362.95,292966
2025-01-18,362.58,386.90,359.50,378.76,418054
2025-01-17,372.92,373.43,361.59,370.46,50000
2025-01-16,361.86,386.19,354.19,366.96,583304
2025-01-15,357.80,370.92,354.94,355.67,50000
2025-01-14,364.05,376.89,356.53,367.07,802868
2025-01-13,366.97,370.91,359.08,359.51,50000
2025-01-12,347.14,351.42,337.95,345.87,50000
2025-01-11,360.36,376.81,353.24,375.57,50000
2025-01-10,385.50,405.95,385.07,401.44,162103
2025-01-09,399.56,407.28,394.64,396.61,957621
2025-01-08,407.47,414.21,405.83,410.98,1016282
2025-01-07,414.55,417.21,406.24,414.80,50000
2025-01-06,411.21,431.05,404.95,422.80,50000
2025-01-05,407.35,418.12,394.98,409.42,50000
2025-01-04,403.91,423.38,392.19,395.48,50000
2025-01-03,395.87,406.79,391.60,392.91,50000
2025-01-02,379.16,385.93,368.71,371.24,50000
2025-01-01,357.95,370.06,356.58,366.87,50000
2024-12-31,356.23,358.05,352.04,357.38,50000
2024-12-30,356.60,365.71,348.05,353.81,638988
2024-12-29,349.54,349.56,334.16,343.32,518617
2024-12-28,345.74,353.39,330.44,341.73,773546
2024-12-27,343.48,346.09,341.44,344.01,370017
2024-12-26,358.90,363.83,353.18,361.59,615991
2024-12-25,353.03,354.34,330.01,339.01,862169
2024-12-24,344.25,351.53,320.60,326.14,50000
2024-12-23,319.69,320.93,314.46,318.67,1198373
2024-12-22,313.05,322.30,308.99,314.85,395258
2024-12-21,323.49,326.85,307.18,307.20,50000
2024-12-20,310.71,312.63,303.11,304.97,388873
2024-12-19,310.06,319.53,305.82,308.95,50000
2024-12-18,309.28,319.34,300.45,312.71,50000
2024-12-17,306.87,307.69,296.81,303.93,50000
2024-12-16,306.14,324.65,304.81,311.00,146339
2024-12-15,310.20,320.99,304.05,318.61,50000
2024-12-14,316.66,320.10,308.56,309.83,405475
2024-12-13,305.09,313.43,304.38,311.73,50000
2024-12-12,298.94,304.13,294.62,297.23,876302
2024-12-11,292.78,299.73,290.72,293.07,50000
2024-12-10,296.63,301.19,286.95,298.59,997843
2024-12-09,298.09,302.69,285.09,299.72,50000
2024-12-08,285.93,287.28,281.04,285.52,50000
2024-12-07,298.26,298.50,290.32,293.31,94817
2024-12-06,306.00,307.81,295.96,300.39,50000
2024-12-05,305.24,325.01,302.56,310.81,829215
2024-12-04,311.27,321.50,307.63,316.35,50000
2024-12-03,312.56,317.20,309.61,313.04,50000
2024-12-02,319.81,320.07,309.32,317.89,572728
2024-12-01,311.04,328.75,306.45,326.89,320592
2024-11-30,317.75,319.29,303.43,313.33,50000
2024-11-29,314.97,327.74,307.29,320.73,137070
2024-11-28,327.52,333.25,324.23,329.13,363998
2024-11-27,329.29,333.84,329.27,333.66,392068
2024-11-26,333.84,342.99,329.33,331.19,50000
2024-11-25,330.31,332.12,316.39,319.75,581706
2024-11-24,331.77,352.94,323.18,336.60,292495
2024-11-23,329.24,331.12,325.58,329.12,50000
