Date,Open,High,Low,Close,Volume
2025-03-02,551.37,559.72,547.37,557.59,50000
2025-03-01,564.22,570.05,543.38,543.71,50000
2025-02-28,544.74,571.39,540.59,554.83,553156
2025-02-27,558.28,568.05,542.97,563.87,50000
2025-02-26,568.25,582.01,552.54,579.48,50000
2025-02-25,565.88,567.49,532.79,550.02,716839
2025-02-24,566.16,578.07,548.14,567.97,508188
2025-02-23,582.43,596.14,567.87,572.84,390677
2025-02-22,561.33,564.91,546.51,558.39,50000
2025-02-21,546.65,560.63,522.00,537.83,1023922
2025-02-20,522.59,531.74,519.94,522.17,92016
2025-02-19,514.32,522.21,511.93,512.28,185478
2025-02-18,517.01,520.05,515.56,516.21,1282403
2025-02-17,526.32,543.20,519.43,522.79,647089
2025-02-16,514.92,527.01,502.41,525.69,50000
2025-02-15,534.19,540.72,523.27,532.16,50000
2025-02-14,531.86,537.78,491.34,499.42,414419
2025-02-13,496.74,508.39,487.14,495.94,50000
2025-02-12,465.75,498.57,464.07,483.65,292821
2025-02-11,481.17,503.01,477.65,494.72,462976
2025-02-10,489.66,498.42,486.88,497.04,365663
2025-02-09,500.63,500.97,493.69,498.31,348224
2025-02-08,485.38,486.64,463.00,463.83,50000
2025-02-07,464.91,466.54,449.45,459.74,50000
2025-02-06,458.27,462.39,443.95,459.80,336288
2025-02-05,460.81,468.13,444.46,465.97,931923
2025-02-04,472.30,487.23,457.86,486.82,50000
2025-02-03,505.76,515.95,495.99,513.87,649550
2025-02-02,490.97,493.36,481.71,489.75,1218554
2025-02-01,474.82,491.72,473.85,488.07,724731
2025-01-31,505.45,514.85,502.43,504.66,50000
2025-01-30,509.14,517.80,506.96,508.21,412924
2025-01-29,501.08,515.99,487.97,515.47,628651
2025-01-28,540.16,546.80,507.99,528.69,50000
2025-01-27,540.64,565.09,511.66,549.88,157362
2025-01-26,538.48,545.01,510.85,525.50,228256
2025-01-25,518.93,527.12,518.23,527.05,50000
2025-01-24,539.45,554.96,513.20,521.98,50000
2025-01-23,522.16,551.08,502.13,511.22,50000
2025-01-22,500.19,505.77,469.99,486.41,50000
2025-01-21,479.38,484.14,477.22,480.60,50000
2025-01-20,491.30,528.86,489.87,510.79,50000
2025-01-19,505.37,533.96,494.43,515.44,262088
2025-01-18,523.72,534.61,504.37,518.97,50000
2025-01-17,524.06,564.83,507.37,546.54,367777
2025-01-16,532.08,545.98,522.60,530.22,784023
2025-01-15,537.59,548.94,513.96,527.08,650497
2025-01-14,518.33,531.44,507.96,520.24,50000
2025-01-13,524.91,542.45,511.01,527.92,50000
2025-01-12,526.24,536.58,521.84,529.41,50000
2025-01-11,541.93,555.48,520.78,542.50,555604
2025-01-10,558.88,613.06,553.89,584.48,50000
2025-01-09,614.29,619.80,607.61,613.09,50000
2025-01-08,626.07,652.13,614.61,639.47,292575
2025-01-07,630.74,651.30,628.98,641.36,279710
2025-01-06,629.39,653.82,626.24,651.03,50000
2025-01-05,634.77,647.60,612.36,630.94,577196
2025-01-04,634.83,640.43,613.53,620.30,299874
2025-01-03,635.65,654.24,624.59,651.71,883612
2025-01-02,652.41,656.80,630.99,647.56,50000
2025-01-01,647.99,671.02,618.03,659.65,50000
2024-12-31,666.52,700.98,657.26,681.94,526494
2024-12-30,696.13,721.52,687.92,705.77,333737
2024-12-29,711.37,735.17,669.70,698.23,144187
2024-12-28,713.40,725.85,700.21,718.40,491292
2024-12-27,726.72,744.94,723.24,731.70,152073
2024-12-26,737.47,764.20,688.23,697.19,127980
2024-12-25,687.59,703.72,664.43,702.70,50000
2024-12-24,701.15,715.58,697.14,714.79,118225
2024-12-23,683.94,687.00,664.87,676.18,50000
2024-12-22,667.81,669.37,654.84,662.38,263647
2024-12-21,675.14,719.07,651.04,694.64,596557
2024-12-20,704.60,727.97,687.67,714.98,50000
2024-12-19,715.95,719.09,691.25,703.20,270064
2024-12-18,679.14,681.85,653.15,672.70,50000
2024-12-17,655.56,663.41,652.50,656.17,50000
2024-12-16,661.94,672.39,628.33,656.06,50000
2024-12-15,639.27,669.63,626.56,666.20,50000
2024-12-14,655.19,666.63,623.42,644.06,50000
2024-12-13,654.48,674.62,650.01,672.31,240330
2024-12-12,677.94,685.45,674.16,678.39,326584
2024-12-11,664.25,667.36,636.74,646.78,50000
2024-12-10,656.28,664.61,653.29,654.90,50000
2024-12-09,646.09,647.08,632.31,639.32,496584
2024-12-08,630.04,630.50,614.92,621.64,311068
2024-12-07,628.60,639.54,591.15,621.16,124022
2024-12-06,612.21,615.94,596.24,598.31,313559
2024-12-05,591.26,615.65,589.63,603.42,465130
2024-12-04,618.42,628.89,605.93,609.24,65876
2024-12-03,625.47,638.41,610.78,627.59,778662
2024-12-02,625.61,648.26,615.77,626.23,821388
2024-12-01,629.61,632.65,619.22,630.98,396961
2024-11-30,632.91,656.21,614.94,648.27,50000
2024-11-29,631.52,650.26,624.43,648.52,50000
2024-11-28,637.23,656.68,612.60,640.14,108183
2024-11-27,650.13,653.27,627.26,646.09,67091
2024-11-26,646.36,648.45,642.77,643.62,407330
2024-11-25,630.10,642.13,607.89,610.35,498613
2024-11-24,625.62,643.25,613.97,637.09,50000
2024-11-23,636.12,645.42,626.67,635.54,279276
