Date,Open,High,Low,Close,Volume
2025-03-02,170.06,175.21,163.72,170.42,50000
2025-03-01,175.81,181.15,170.82,175.30,50000
2025-02-28,177.78,189.63,177.14,185.13,507983
2025-02-27,182.90,185.88,179.45,183.47,50000
2025-02-26,180.24,182.97,177.94,179.16,50000
2025-02-25,178.09,179.56,175.99,178.08,50000
2025-02-24,174.93,175.16,173.32,174.74,88789
2025-02-23,173.26,173.71,169.46,170.90,148722
2025-02-22,171.58,173.28,161.23,163.28,208176
2025-02-21,157.84,163.00,155.57,160.26,50000
2025-02-20,163.31,165.98,158.97,164.40,58192
2025-02-19,162.14,162.95,161.59,161.76,243127
2025-02-18,159.83,161.09,154.57,158.96,604931
2025-02-17,161.75,164.09,158.60,162.37,303331
2025-02-16,154.29,160.23,153.73,158.65,817489
2025-02-15,159.44,168.19,157.87,167.03,95681
2025-02-14,166.11,170.53,161.22,166.62,126586
2025-02-13,162.73,163.47,160.39,161.27,50000
2025-02-12,153.51,154.19,149.31,152.34,1380516
2025-02-11,150.35,150.65,142.03,149.26,50000
2025-02-10,150.79,152.43,147.34,147.79,50000
2025-02-09,154.69,156.00,152.79,152.83,617067
2025-02-08,154.84,159.66,152.73,156.79,50000
2025-02-07,162.39,166.84,160.60,164.84,50000
2025-02-06,161.73,163.80,157.03,162.83,50000
2025-02-05,165.40,169.45,159.33,164.15,216202
2025-02-04,167.26,168.26,158.27,164.26,700466
2025-02-03,161.16,163.90,153.74,158.66,145518
2025-02-02,160.73,167.37,159.69,163.82,1123430
2025-02-01,157.13,163.05,153.45,155.58,50000
2025-01-31,155.14,157.99,154.31,157.43,431624
2025-01-30,153.70,154.18,147.80,150.82,428490
2025-01-29,147.26,147.79,143.47,145.98,50000
2025-01-28,146.15,153.26,144.70,144.80,50000
2025-01-27,147.47,155.37,144.05,153.27,212137
2025-01-26,148.72,154.03,147.08,153.77,50000
2025-01-25,154.04,159.76,152.30,157.34,196063
2025-01-24,163.75,166.64,159.26,166.54,50000
2025-01-23,173.18,173.35,171.31,171.52,978186
2025-01-22,173.54,178.15,171.62,173.51,50000
2025-01-21,171.51,174.34,166.85,171.38,50000
2025-01-20,172.61,176.40,170.53,171.01,341130
2025-01-19,171.12,174.54,166.43,167.83,214485
2025-01-18,169.53,176.21,167.64,167.83,148828
2025-01-17,171.82,178.47,171.32,173.44,50000
2025-01-16,176.45,191.37,172.89,188.73,384125
2025-01-15,190.29,195.76,189.57,190.80,1266733
2025-01-14,188.39,196.09,182.20,186.82,966304
2025-01-13,185.12,189.91,179.76,183.01,289069
2025-01-12,185.38,186.30,179.62,183.54,50000
2025-01-11,184.75,190.42,181.93,189.99,50000
2025-01-10,191.07,201.78,188.63,189.77,50000
2025-01-09,186.16,194.05,185.56,188.92,50000
2025-01-08,181.70,191.78,177.39,182.28,83338
2025-01-07,189.06,199.21,187.32,196.81,50000
2025-01-06,205.23,206.59,203.34,203.51,50000
2025-01-05,208.31,212.36,200.19,201.25,531804
2025-01-04,199.29,205.16,195.32,202.09,50000
2025-01-03,196.79,197.69,192.43,192.94,50000
2025-01-02,192.84,197.77,191.02,196.85,50000
2025-01-01,197.81,208.07,194.97,202.53,654637
2024-12-31,203.65,204.29,197.85,202.27,50000
2024-12-30,205.58,209.08,203.41,207.85,222914
2024-12-29,203.11,207.75,199.98,203.28,50000
2024-12-28,202.16,206.12,192.03,194.44,50000
2024-12-27,194.32,199.63,192.95,198.69,50000
2024-12-26,197.11,202.89,187.67,190.11,273572
2024-12-25,191.00,198.14,187.85,192.57,311164
2024-12-24,185.41,187.24,184.62,187.19,50000
2024-12-23,179.88,180.06,176.98,179.47,67197
2024-12-22,184.37,191.78,182.50,185.43,50000
2024-12-21,186.15,190.26,184.74,186.10,824664
2024-12-20,192.32,195.66,181.23,187.99,504294
2024-12-19,187.64,197.26,182.58,183.62,50000
2024-12-18,183.01,185.66,179.16,183.16,351401
2024-12-17,187.17,191.23,184.38,189.50,97196
2024-12-16,190.29,202.76,189.75,197.38,50000
2024-12-15,201.79,204.64,195.13,200.09,50000
2024-12-14,204.84,213.35,196.03,205.87,439157
2024-12-13,198.81,201.50,196.14,196.86,50000
2024-12-12,198.94,204.12,193.64,196.49,50000
2024-12-11,195.04,198.82,193.98,197.89,303253
2024-12-10,203.85,207.88,194.66,197.01,133034
2024-12-09,192.87,203.18,191.56,198.87,50000
2024-12-08,200.63,210.14,200.39,206.71,722978
2024-12-07,206.09,207.38,205.01,206.07,1133516
2024-12-06,200.33,204.05,197.95,203.28,876341
2024-12-05,205.40,206.27,195.87,205.86,155950
2024-12-04,204.02,204.85,202.84,204.65,50000
2024-12-03,201.88,207.70,195.43,198.46,380820
2024-12-02,194.10,201.50,193.28,196.26,50000
2024-12-01,192.78,200.16,190.58,194.86,682393
2024-11-30,192.90,196.81,187.97,196.69,50000
2024-11-29,203.52,207.26,191.82,206.57,401340
2024-11-28,202.08,208.85,197.81,207.49,53874
2024-11-27,205.45,209.51,197.72,198.04,745555
2024-11-26,198.66,207.98,196.44,203.26,1041248
2024-11-25,208.56,210.77,207.36,207.47,707850
2024-11-24,205.60,207.72,202.04,203.83,50000
2024-11-23,200.74,200.75,193.16,200.07,943758
