Date,Open,High,Low,Close,Volume
2025-03-02,171.95,174.90,165.85,168.43,699548
2025-03-01,169.05,174.00,162.85,169.51,50000
2025-02-28,169.61,171.46,168.15,170.73,1274710
2025-02-27,169.01,176.80,168.29,173.50,50000
2025-02-26,172.28,173.06,168.29,170.66,58708
2025-02-25,169.78,170.57,169.36,169.58,50000
2025-02-24,171.05,174.03,168.49,173.64,134930
2025-02-23,171.00,177.06,166.40,173.95,50000
2025-02-22,173.56,180.08,169.78,175.65,50000
2025-02-21,178.36,179.22,172.40,172.59,50000
2025-02-20,172.45,175.38,171.85,174.65,50000
2025-02-19,173.34,174.88,166.24,172.59,50000
2025-02-18,169.89,173.11,165.33,172.26,50000
2025-02-17,169.00,173.44,162.09,164.69,50000
2025-02-16,159.21,163.87,157.70,162.12,1260781
2025-02-15,162.64,167.99,154.89,158.84,50000
2025-02-14,161.52,169.29,158.79,160.09,97734
2025-02-13,165.91,172.17,159.96,170.55,50000
2025-02-12,169.48,170.76,163.92,167.22,50000
2025-02-11,165.65,174.31,165.10,174.00,50000
2025-02-10,171.24,179.42,168.82,175.71,50000
2025-02-09,178.57,184.19,177.83,181.57,453322
2025-02-08,183.87,196.81,180.97,195.21,474044
2025-02-07,192.64,193.50,184.02,190.78,50000
2025-02-06,191.48,196.04,185.98,193.47,50000
2025-02-05,193.24,203.49,192.44,199.72,348571
2025-02-04,190.64,192.20,185.88,191.23,352094
2025-02-03,192.42,195.10,192.07,192.50,50000
2025-02-02,193.88,194.27,186.22,187.57,396829
2025-02-01,187.14,191.82,185.48,188.20,50000
2025-01-31,190.82,191.01,184.33,188.20,217329
2025-01-30,183.78,186.30,177.72,181.34,524739
2025-01-29,179.52,182.56,168.07,173.71,410397
2025-01-28,173.49,177.28,167.26,171.31,755988
2025-01-27,166.15,167.55,163.42,166.35,716132
2025-01-26,169.70,178.91,168.93,171.85,102625
2025-01-25,173.47,177.70,165.32,169.16,313565
2025-01-24,167.94,171.34,165.07,171.19,856494
2025-01-23,172.17,179.47,170.50,170.84,50000
2025-01-22,170.29,175.10,169.83,171.94,700664
2025-01-21,180.83,186.79,174.98,182.77,533188
2025-01-20,183.66,188.39,175.13,175.38,50000
2025-01-19,179.85,183.28,173.75,180.07,549076
2025-01-18,178.26,183.25,178.14,181.52,520210
2025-01-17,176.52,191.77,173.74,186.84,319418
2025-01-16,193.36,199.94,192.99,197.49,50000
2025-01-15,202.02,202.96,193.53,196.28,50000
2025-01-14,192.15,199.12,184.57,188.92,50000
2025-01-13,184.43,185.88,183.91,184.44,50000
2025-01-12,176.80,178.27,163.91,169.01,227477
2025-01-11,170.91,171.75,166.99,168.51,50000
2025-01-10,166.61,166.88,161.66,161.73,50000
2025-01-09,162.14,166.82,156.50,165.60,50000
2025-01-08,165.79,168.82,158.54,162.87,50000
2025-01-07,162.93,168.61,161.10,161.77,452900
2025-01-06,154.51,155.29,142.02,146.26,50000
2025-01-05,147.63,151.83,144.47,148.92,192093
2025-01-04,149.55,150.60,146.28,150.19,50000
2025-01-03,146.48,150.56,137.01,143.08,1748169
2025-01-02,142.05,142.20,135.35,137.57,50000
2025-01-01,139.98,140.10,133.61,138.35,50000
2024-12-31,136.72,139.34,134.53,135.58,932762
2024-12-30,135.75,139.43,128.31,133.89,145084
2024-12-29,139.50,143.62,131.36,135.27,220273
2024-12-28,138.84,140.29,136.24,138.69,50000
2024-12-27,139.44,140.40,133.19,135.48,291591
2024-12-26,135.21,140.40,132.97,137.39,50000
2024-12-25,141.62,148.08,140.23,141.05,463619
2024-12-24,136.03,136.12,130.05,135.05,50000
2024-12-23,132.47,135.27,118.69,127.15,1005848
2024-12-22,129.52,133.31,126.95,127.70,50000
2024-12-21,129.50,129.68,119.43,125.50,50000
2024-12-20,125.27,131.28,123.11,129.57,301636
2024-12-19,127.32,130.22,125.18,126.17,413225
2024-12-18,121.41,127.93,120.91,125.11,50000
2024-12-17,126.66,130.64,123.75,128.28,248839
2024-12-16,127.55,131.37,123.04,125.82,50000
2024-12-15,121.76,123.44,119.70,122.06,606396
2024-12-14,124.77,128.94,124.19,128.89,50000
2024-12-13,131.22,133.94,123.40,125.04,50000
2024-12-12,125.32,126.58,120.92,121.90,50000
2024-12-11,120.82,123.86,119.44,120.33,489250
2024-12-10,119.13,125.47,118.05,122.31,140907
2024-12-09,122.34,122.94,119.49,121.10,50000
2024-12-08,120.33,122.55,115.85,118.60,360504
2024-12-07,122.20,127.45,119.27,126.28,86995
2024-12-06,126.32,128.24,122.40,127.08,50000
2024-12-05,131.60,134.06,129.51,132.98,50000
2024-12-04,130.70,137.86,125.88,136.29,812764
2024-12-03,135.18,141.97,134.27,140.96,403192
2024-12-02,140.92,148.48,134.25,138.70,50000
2024-12-01,138.16,142.21,135.94,136.53,50000
2024-11-30,140.14,144.14,137.67,138.94,567802
2024-11-29,136.32,139.54,135.47,136.18,50000
2024-11-28,138.96,140.04,136.63,137.70,50000
2024-11-27,135.02,136.55,128.26,130.47,759142
2024-11-26,132.97,135.88,132.46,133.27,50000
2024-11-25,134.68,135.11,128.53,132.02,452995
2024-11-24,135.24,140.69,132.09,133.93,344238
2024-11-23,132.80,132.82,129.87,131.29,50000
