Date,Open,High,Low,Close,Volume
2025-03-02,1215.62,1241.32,1183.99,1185.47,54828
2025-03-01,1189.63,1225.75,1128.43,1141.18,50000
2025-02-28,1158.71,1203.83,1121.34,1180.45,638669
2025-02-27,1203.19,1279.89,1201.89,1242.15,294115
2025-02-26,1221.26,1243.13,1218.47,1228.06,50000
2025-02-25,1243.00,1311.39,1233.13,1267.26,1046111
2025-02-24,1283.34,1306.64,1276.53,1294.04,50000
2025-02-23,1260.14,1278.63,1227.72,1233.80,50000
2025-02-22,1202.37,1214.59,1190.28,1209.61,50000
2025-02-21,1178.39,1217.49,1142.32,1203.05,50000
2025-02-20,1187.24,1223.01,1174.67,1206.94,50000
2025-02-19,1176.56,1203.08,1141.75,1150.38,50000
2025-02-18,1143.35,1153.94,1078.49,1130.54,303658
2025-02-17,1147.88,1151.38,1138.83,1147.83,50000
2025-02-16,1155.85,1159.86,1116.02,1123.36,50000
2025-02-15,1126.94,1139.90,1100.53,1116.29,50000
2025-02-14,1154.33,1216.95,1119.06,1169.74,558274
2025-02-13,1163.27,1173.80,1159.32,1173.07,829267
2025-02-12,1152.79,1195.05,1138.48,1194.48,50000
2025-02-11,1197.73,1207.56,1184.11,1205.23,900284
2025-02-10,1192.39,1209.52,1146.76,1163.29,799688
2025-02-09,1161.86,1191.93,1117.80,1154.69,401013
2025-02-08,1150.15,1217.45,1127.16,1171.29,1232821
2025-02-07,1176.44,1198.72,1131.79,1136.66,50000
2025-02-06,1134.50,1144.30,1068.13,1076.18,50000
2025-02-05,1061.19,1077.35,1040.14,1043.48,50000
2025-02-04,1070.62,1086.78,1065.82,1076.29,458864
2025-02-03,1114.21,1161.37,1113.15,1145.75,50000
2025-02-02,1156.68,1184.88,1136.07,1152.02,642884
2025-02-01,1129.30,1188.89,1118.00,1180.86,177590
2025-01-31,1188.56,1190.28,1146.23,1179.94,50000
2025-01-30,1197.75,1227.09,1166.67,1179.62,151417
2025-01-29,1174.87,1218.38,1138.22,1217.73,535910
2025-01-28,1245.66,1261.30,1235.53,1249.16,203068
2025-01-27,1288.89,1322.79,1218.56,1302.94,117561
2025-01-26,1327.65,1329.57,1278.83,1309.13,503831
2025-01-25,1328.77,1381.89,1314.34,1345.42,50000
2025-01-24,1354.23,1428.46,1341.91,1391.07,374476
2025-01-23,1366.07,1410.19,1336.86,1394.54,50000
2025-01-22,1360.55,1376.97,1334.19,1344.13,211122
2025-01-21,1372.47,1414.92,1365.46,1405.14,184573
2025-01-20,1402.76,1431.07,1391.64,1419.22,242075
2025-01-19,1409.80,1449.11,1375.83,1381.98,541917
2025-01-18,1393.82,1482.17,1392.93,1447.82,138844
2025-01-17,1463.44,1505.55,1429.32,1430.19,222679
2025-01-16,1410.76,1468.90,1392.09,1460.76,510507
2025-01-15,1459.50,1466.92,1457.08,1457.94,50000
2025-01-14,1454.04,1474.12,1422.72,1439.93,50000
2025-01-13,1395.92,1428.46,1387.84,1406.50,50000
2025-01-12,1428.84,1432.12,1398.77,1420.02,50000
2025-01-11,1387.10,1424.16,1371.20,1415.38,50000
2025-01-10,1431.56,1438.28,1388.63,1402.63,50000
2025-01-09,1419.21,1440.10,1379.31,1395.14,50000
2025-01-08,1403.09,1428.75,1332.63,1418.24,501440
2025-01-07,1404.98,1405.53,1387.83,1402.21,50000
2025-01-06,1397.05,1468.85,1377.38,1383.84,50000
2025-01-05,1364.35,1414.42,1346.65,1384.23,50000
2025-01-04,1381.43,1412.64,1369.39,1389.35,50000
2025-01-03,1384.42,1395.30,1366.75,1374.71,50000
2025-01-02,1386.22,1420.06,1363.57,1401.37,609445
2025-01-01,1375.85,1433.10,1311.68,1381.38,859659
2024-12-31,1385.79,1430.86,1373.64,1430.28,698497
2024-12-30,1447.70,1473.41,1432.63,1468.15,193889
2024-12-29,1481.41,1483.75,1462.33,1475.52,208947
