Date,Open,High,Low,Close,Volume
2025-03-02,32.71,33.95,32.13,33.38,50000
2025-03-01,31.49,31.59,30.70,30.77,50000
2025-02-28,31.50,32.05,31.01,31.79,514809
2025-02-27,30.93,31.13,30.77,30.93,50000
2025-02-26,31.09,31.17,28.82,30.38,1089371
2025-02-25,30.01,30.09,29.23,29.83,455021
2025-02-24,29.70,30.24,28.67,28.86,50000
2025-02-23,29.48,31.24,28.12,30.77,71563
2025-02-22,29.97,31.24,29.00,30.27,424094
2025-02-21,30.29,30.93,29.95,30.69,77459
2025-02-20,30.88,31.23,30.43,30.55,940043
2025-02-19,30.81,30.96,30.08,30.71,486995
2025-02-18,29.90,30.26,29.53,30.22,50000
2025-02-17,30.12,30.82,29.66,30.75,704058
2025-02-16,31.41,32.23,29.75,30.45,50000
2025-02-15,29.39,30.73,29.23,30.14,50000
2025-02-14,29.52,30.65,29.44,30.09,329810
2025-02-13,30.30,32.18,29.40,30.91,57015
2025-02-12,30.84,32.07,29.53,31.13,361930
2025-02-11,30.98,31.43,30.36,31.12,50000
2025-02-10,30.74,31.82,30.09,30.62,181056
2025-02-09,30.07,30.91,28.82,29.11,50000
2025-02-08,28.59,29.61,28.27,28.47,397810
2025-02-07,27.50,28.30,27.00,27.96,50000
2025-02-06,28.09,28.27,28.00,28.14,50000
2025-02-05,28.81,28.91,27.92,28.48,50000
2025-02-04,28.51,29.52,28.17,28.31,50000
2025-02-03,27.86,27.97,26.89,27.76,50000
2025-02-02,27.51,27.83,27.36,27.54,90347
2025-02-01,27.17,27.76,27.05,27.64,171721
2025-01-31,27.53,28.14,27.28,27.55,50000
2025-01-30,27.45,28.16,26.31,26.55,50000
2025-01-29,26.72,27.73,26.47,27.14,912893
2025-01-28,28.01,28.42,27.42,27.56,50000
2025-01-27,27.67,28.36,27.25,27.77,744958
2025-01-26,27.67,29.15,27.43,27.81,231253
2025-01-25,27.46,27.75,26.61,26.73,317900
2025-01-24,26.04,27.28,25.45,26.55,451097
2025-01-23,26.70,27.09,25.83,26.69,122410
2025-01-22,25.45,26.04,24.16,25.03,835672
2025-01-21,24.97,25.86,24.50,25.57,569094
2025-01-20,25.80,26.20,25.79,25.79,50000
2025-01-19,25.62,26.64,25.57,25.96,50000
2025-01-18,27.14,28.46,27.00,28.00,50000
2025-01-17,28.84,29.01,26.70,27.65,50000
2025-01-16,28.83,29.87,26.70,27.73,661626
2025-01-15,27.31,27.60,26.80,26.92,50000
2025-01-14,27.70,28.12,26.02,27.49,1302800
2025-01-13,27.32,27.59,27.10,27.24,74088
2025-01-12,27.32,27.84,27.05,27.66,310802
2025-01-11,27.34,28.13,26.10,26.96,50000
2025-01-10,25.99,27.07,25.41,26.10,186828
2025-01-09,26.27,26.82,24.89,25.33,601115
2025-01-08,25.54,25.76,25.17,25.21,637289
2025-01-07,24.81,25.20,24.70,24.95,633287
2025-01-06,24.08,24.34,23.30,23.89,50000
2025-01-05,23.86,25.27,23.49,24.90,81047
2025-01-04,24.86,25.09,23.62,24.33,263805
2025-01-03,23.28,23.31,22.53,22.76,50000
2025-01-02,23.12,23.52,22.66,23.09,202413
2025-01-01,23.24,23.47,23.12,23.21,558748
2024-12-31,23.31,24.39,22.37,23.22,50000
2024-12-30,22.88,23.10,22.61,22.85,199115
2024-12-29,22.56,23.01,22.25,22.91,50000
2024-12-28,22.73,23.64,22.12,22.31,50000
2024-12-27,22.88,22.96,21.82,22.31,102641
2024-12-26,22.29,22.35,21.78,22.23,176294
2024-12-25,21.87,22.05,21.32,21.89,50000
2024-12-24,21.75,22.15,20.70,21.80,50000
2024-12-23,21.03,21.90,20.57,21.40,50000
2024-12-22,20.50,21.24,20.25,20.28,86169
2024-12-21,20.06,20.18,19.84,20.02,50000
2024-12-20,20.15,20.94,20.03,20.63,50000
2024-12-19,20.07,20.37,19.55,20.20,257014
2024-12-18,20.79,21.11,20.11,20.80,50000
2024-12-17,20.90,21.57,20.31,21.05,50000
2024-12-16,20.82,21.20,20.41,20.56,555048
2024-12-15,20.37,20.69,20.20,20.68,428249
2024-12-14,20.15,20.35,19.89,20.15,50000
2024-12-13,20.17,20.47,19.47,20.09,444442
2024-12-12,19.61,19.71,18.50,19.27,50000
2024-12-11,19.89,20.29,19.76,19.87,73471
2024-12-10,20.09,21.38,19.37,21.05,241974
2024-12-09,21.08,21.27,21.07,21.19,50000
2024-12-08,21.62,21.77,20.43,20.80,504411
2024-12-07,20.92,21.34,20.32,20.42,50000
2024-12-06,21.07,21.40,20.38,20.78,50000
2024-12-05,20.84,21.30,20.75,20.81,623059
2024-12-04,21.54,21.59,20.83,21.20,50000
2024-12-03,20.99,21.17,20.99,21.06,50000
2024-12-02,20.89,21.13,19.96,20.06,690839
2024-12-01,19.81,20.07,19.59,19.74,50000
2024-11-30,19.32,20.37,19.31,19.37,89380
2024-11-29,19.63,19.72,19.17,19.31,791916
2024-11-28,18.81,19.20,18.54,19.11,50000
2024-11-27,19.34,19.94,18.77,18.79,50000
2024-11-26,18.56,18.82,18.54,18.64,60908
2024-11-25,19.15,19.40,18.21,18.73,50000
2024-11-24,18.84,19.29,17.93,18.78,50000
2024-11-23,18.88,18.92,17.84,18.30,381903
