Date,Open,High,Low,Close,Volume
2025-03-02,593.09,596.97,588.51,594.81,987931
2025-03-01,601.39,604.79,596.33,596.64,347447
2025-02-28,600.68,607.01,595.57,602.80,491911
2025-02-27,599.23,604.79,590.47,593.61,367785
2025-02-26,603.81,608.26,594.39,598.04,748402
2025-02-25,590.00,594.60,588.44,592.20,366280
2025-02-24,596.24,603.28,595.66,599.88,812479
2025-02-23,609.44,613.92,607.84,610.95,868614
2025-02-22,601.32,606.80,593.84,599.57,329288
2025-02-21,603.00,606.94,599.80,603.50,727763
2025-02-20,612.65,617.11,607.91,616.53,982710
2025-02-19,607.10,616.43,606.75,612.65,227247
2025-02-18,609.40,611.86,608.12,609.74,989012
2025-02-17,608.67,613.31,601.42,604.16,427572
2025-02-16,602.36,605.20,600.35,602.71,712019
2025-02-15,589.80,596.83,588.46,592.10,394059
2025-02-14,581.34,586.92,578.22,582.50,325888
2025-02-13,581.32,582.36,579.20,579.40,970772
2025-02-12,587.58,592.94,587.03,590.20,994109
2025-02-11,604.13,612.26,601.55,609.39,749831
2025-02-10,623.56,630.45,619.37,626.15,797702
2025-02-09,612.47,613.65,602.09,608.08,129624
2025-02-08,616.86,626.14,616.25,620.40,401375
2025-02-07,622.91,633.73,617.69,628.68,538064
2025-02-06,636.70,641.26,633.93,635.51,524937
2025-02-05,632.50,641.57,631.83,637.88,833367
2025-02-04,641.54,647.16,640.99,641.40,228792
2025-02-03,642.17,649.09,638.55,645.75,561561
2025-02-02,661.53,662.93,651.26,656.11,473103
2025-02-01,649.05,649.83,642.79,648.21,266376
2025-01-31,643.18,646.50,635.60,637.14,740835
2025-01-30,625.92,635.03,619.67,629.33,637372
2025-01-29,628.61,633.43,623.13,630.07,397752
2025-01-28,624.90,626.91,619.46,621.00,695864
2025-01-27,618.97,621.14,613.59,617.18,429759
2025-01-26,623.03,628.62,617.77,620.89,530716
2025-01-25,624.08,625.88,613.00,618.19,645789
2025-01-24,613.14,624.53,610.82,618.45,831099
2025-01-23,630.42,633.14,628.11,630.98,823804
2025-01-22,617.34,623.77,613.24,621.53,141193
2025-01-21,631.44,632.79,629.55,630.56,922984
2025-01-20,624.37,628.95,624.34,627.49,784826
2025-01-19,641.50,644.15,638.04,638.20,981539
2025-01-18,649.90,662.42,646.72,656.04,937052
2025-01-17,662.03,668.87,659.36,666.45,988235
2025-01-16,661.92,666.70,659.53,661.33,748266
2025-01-15,658.59,664.58,651.44,654.82,406752
2025-01-14,649.24,654.92,647.10,654.01,167298
2025-01-13,668.34,669.13,658.77,663.31,519551
2025-01-12,672.08,679.37,665.90,674.03,814940
2025-01-11,659.51,664.35,655.99,659.13,369101
2025-01-10,665.34,670.61,662.65,668.08,908341
2025-01-09,684.38,691.06,680.98,687.80,201050
2025-01-08,698.38,701.58,692.97,699.46,256592
2025-01-07,704.97,708.27,698.35,706.91,660605
2025-01-06,711.92,712.32,700.16,705.84,309540
2025-01-05,720.73,721.52,716.30,717.97,895277
2025-01-04,730.87,733.54,725.45,726.38,395845
2025-01-03,719.26,725.35,714.21,717.37,710787
2025-01-02,713.83,716.99,706.13,710.15,471797
2025-01-01,699.57,706.99,693.40,702.29,102906
2024-12-31,715.79,728.21,712.98,721.39,666955
2024-12-30,719.20,723.58,712.45,716.17,507614
2024-12-29,713.14,720.65,711.84,717.32,987233
2024-12-28,705.90,718.79,700.92,712.37,311022
2024-12-27,718.58,723.87,711.14,712.26,932089
2024-12-26,712.38,716.00,704.85,707.99,732452
2024-12-25,711.92,714.28,708.85,708.86,658941
2024-12-24,695.72,703.82,694.35,696.97,802176
2024-12-23,682.67,689.03,682.65,688.39,474329
2024-12-22,694.33,694.68,690.25,690.62,873832
2024-12-21,707.77,710.09,701.99,708.80,536728
2024-12-20,691.71,694.80,688.11,692.72,821157
2024-12-19,682.24,692.23,679.60,686.37,461504
2024-12-18,676.81,681.39,669.12,671.03,689704
2024-12-17,670.70,671.98,663.13,665.41,975775
2024-12-16,664.47,674.66,658.50,669.04,334958
2024-12-15,660.45,665.50,660.26,665.17,348636
2024-12-14,670.91,674.30,664.09,664.41,450134
2024-12-13,659.61,665.42,653.13,656.85,387134
2024-12-12,649.84,650.98,645.15,649.69,657313
2024-12-11,648.04,657.46,647.48,652.42,437702
2024-12-10,660.42,666.69,658.65,663.25,344066
2024-12-09,654.47,654.63,646.40,650.86,728384
2024-12-08,647.28,648.18,643.94,644.20,346224
2024-12-07,653.12,663.78,652.34,658.94,371734
2024-12-06,663.00,666.36,658.71,662.72,562627
2024-12-05,651.67,658.15,643.18,647.69,269271
2024-12-04,634.19,639.63,627.72,632.13,230521
2024-12-03,618.99,623.56,617.63,621.45,100309
2024-12-02,613.34,613.93,606.58,609.80,782240
2024-12-01,610.85,614.00,600.71,605.83,226296
2024-11-30,606.84,611.60,599.23,603.70,693659
2024-11-29,608.89,616.00,603.99,610.97,158189
2024-11-28,621.85,627.86,617.15,623.49,924478
2024-11-27,629.61,637.58,628.14,635.34,983613
2024-11-26,636.40,637.18,625.40,631.28,971889
2024-11-25,634.81,638.21,632.39,636.28,149756
2024-11-24,625.32,630.88,622.93,627.37,218439
2024-11-23,613.81,614.41,607.87,612.14,449517
