Date,Open,High,Low,Close,Volume
2025-03-02,724.89,725.08,685.65,716.87,431788
2025-03-01,701.40,702.45,698.16,701.80,253956
2025-02-28,712.29,744.19,703.03,736.85,468509
2025-02-27,734.18,775.54,728.82,738.29,225481
2025-02-26,732.04,743.82,695.24,714.95,50000
2025-02-25,711.50,740.25,699.53,721.04,50000
2025-02-24,712.34,715.80,699.57,702.10,50000
2025-02-23,710.29,726.27,694.14,701.85,515176
2025-02-22,718.81,750.88,700.82,729.46,725405
2025-02-21,724.61,741.49,722.32,725.41,910468
2025-02-20,731.78,733.22,713.96,715.98,50000
2025-02-19,718.05,722.25,691.86,695.68,50000
2025-02-18,691.78,707.69,647.06,663.81,50000
2025-02-17,662.60,680.95,624.07,649.16,982596
2025-02-16,654.24,677.68,651.70,667.22,50000
2025-02-15,652.02,679.28,650.99,663.18,119071
2025-02-14,653.87,671.43,644.83,667.37,103896
2025-02-13,660.13,667.10,657.76,659.98,50000
2025-02-12,652.18,655.94,629.75,653.05,773606
2025-02-11,639.73,657.30,602.97,627.23,1315292
2025-02-10,627.68,645.55,611.58,627.73,50000
2025-02-09,615.27,639.70,594.15,633.27,837507
2025-02-08,641.30,678.08,616.23,656.96,86715
2025-02-07,658.38,669.55,657.57,668.54,50000
2025-02-06,674.09,689.39,670.20,675.86,290351
2025-02-05,677.91,684.76,676.53,680.03,50000
2025-02-04,705.81,717.29,668.82,690.09,50000
2025-02-03,668.36,671.62,631.08,658.92,50000
2025-02-02,662.11,673.42,639.95,670.93,50000
2025-02-01,653.85,663.63,651.13,653.91,50000
2025-01-31,663.29,685.94,652.11,680.62,50000
2025-01-30,690.38,725.54,665.70,707.21,50000
2025-01-29,717.86,742.72,688.07,699.96,337902
2025-01-28,687.19,710.48,672.22,698.55,336326
2025-01-27,720.37,741.86,699.53,735.16,50000
2025-01-26,736.83,749.13,725.10,741.23,145888
2025-01-25,740.53,756.77,739.34,754.11,105902
2025-01-24,751.14,759.99,730.80,749.95,669001
2025-01-23,748.53,773.68,737.52,743.16,912868
2025-01-22,740.91,751.16,720.13,740.36,507634
2025-01-21,723.96,744.35,695.65,701.37,50000
2025-01-20,690.51,698.02,655.07,688.57,50000
2025-01-19,685.21,701.35,681.17,691.16,50000
2025-01-18,713.87,730.04,706.54,729.42,50000
2025-01-17,752.98,754.39,740.30,754.25,736529
2025-01-16,740.98,757.06,721.88,737.01,217572
2025-01-15,733.93,750.28,701.57,733.00,180510
2025-01-14,739.71,759.50,707.51,722.72,229382
2025-01-13,707.27,710.50,665.48,678.87,157987
2025-01-12,689.13,690.81,645.79,667.81,944160
2025-01-11,683.13,685.72,680.95,681.38,436038
2025-01-10,682.93,690.42,642.83,689.36,89565
2025-01-09,691.77,707.55,679.58,680.87,50000
2025-01-08,699.58,712.12,678.67,703.07,454597
2025-01-07,699.92,705.34,694.26,704.64,351057
2025-01-06,717.05,722.27,712.26,716.90,174596
2025-01-05,694.53,695.16,674.88,686.96,50000
2025-01-04,719.34,725.12,710.54,714.83,781310
2025-01-03,715.06,728.69,687.94,725.46,50000
2025-01-02,734.15,743.06,683.73,709.92,474194
2025-01-01,702.12,708.49,682.25,700.98,152768
2024-12-31,709.80,716.42,696.48,706.01,50000
2024-12-30,722.50,735.59,716.30,721.63,50000
2024-12-29,742.51,765.37,730.26,751.93,250138
2024-12-28,773.06,785.84,766.14,777.51,73773
2024-12-27,751.57,755.88,743.63,751.57,50000
2024-12-26,737.21,759.99,722.94,759.93,50000
2024-12-25,780.61,789.39,751.20,767.69,190601
2024-12-24,750.18,781.51,746.42,751.02,50000
2024-12-23,779.06,800.15,769.69,775.65,253981
2024-12-22,775.10,780.06,771.84,776.61,415256
2024-12-21,782.84,813.89,781.04,790.89,50000
2024-12-20,764.89,769.12,758.75,766.80,50000
2024-12-19,740.16,746.83,719.97,737.67,50000
2024-12-18,734.97,751.68,733.08,749.58,439580
2024-12-17,760.43,760.51,733.84,737.39,108737
2024-12-16,722.69,773.14,715.27,751.74,399340
2024-12-15,755.37,764.93,750.96,755.65,128975
2024-12-14,738.29,770.41,709.46,768.58,159116
2024-12-13,775.58,794.75,770.18,779.88,50000
2024-12-12,800.56,814.00,786.72,810.94,224185
2024-12-11,801.82,822.51,795.48,799.36,50000
2024-12-10,818.05,820.66,797.99,806.07,50000
2024-12-09,790.08,797.07,773.94,782.74,50000
2024-12-08,801.38,826.74,783.35,822.31,352072
2024-12-07,835.10,837.78,809.20,821.46,50000
2024-12-06,841.02,858.18,826.17,845.97,643060
2024-12-05,840.34,859.46,814.07,838.47,50000
2024-12-04,847.77,866.28,843.55,844.18,1113015
2024-12-03,835.09,868.76,830.14,840.21,414453
2024-12-02,831.99,836.88,775.14,794.84,50000
2024-12-01,792.89,816.32,779.32,815.46,50000
2024-11-30,786.22,818.30,774.10,801.62,147325
2024-11-29,825.43,836.27,764.12,808.44,166194
2024-11-28,790.92,810.49,783.67,807.64,50000
2024-11-27,782.15,797.53,762.61,788.42,274666
2024-11-26,781.70,794.49,758.90,767.92,50000
2024-11-25,761.99,771.11,743.86,760.92,650901
2024-11-24,765.14,777.51,710.89,745.83,723135
2024-11-23,763.51,769.72,712.33,731.74,825006
