Date,Open,High,Low,Close,Volume
2025-03-02,275.11,278.90,270.65,275.99,50000
2025-03-01,276.38,291.14,274.14,278.87,988511
2025-02-28,283.46,300.78,280.09,292.02,50000
2025-02-27,294.98,297.09,288.07,289.33,330123
2025-02-26,286.92,292.10,281.22,287.39,50000
2025-02-25,282.36,285.04,266.97,274.26,50000
2025-02-24,278.77,288.22,273.03,282.57,359133
2025-02-23,285.46,286.95,283.03,284.09,139803
2025-02-22,277.18,285.18,264.81,271.30,50000
2025-02-21,274.05,277.69,273.12,275.93,794891
2025-02-20,287.64,292.80,279.64,291.19,254694
2025-02-19,290.28,290.39,269.16,280.98,120742
2025-02-18,282.87,290.12,280.55,280.98,50000
2025-02-17,285.11,290.00,277.52,278.70,50000
2025-02-16,278.54,286.07,274.62,276.09,488480
2025-02-15,281.57,283.58,279.00,280.22,50000
2025-02-14,273.88,281.93,272.27,277.54,50000
2025-02-13,286.20,294.04,279.43,291.22,50000
2025-02-12,299.25,307.71,298.70,307.66,237352
2025-02-11,311.90,320.99,305.73,312.59,50000
2025-02-10,312.39,316.03,307.04,311.70,50000
2025-02-09,317.00,320.09,306.07,312.33,300187
2025-02-08,312.63,328.30,309.73,309.91,373150
2025-02-07,311.84,323.10,308.59,311.87,250271
2025-02-06,311.50,317.18,304.62,316.22,93434
2025-02-05,322.61,325.30,312.51,321.24,488579
2025-02-04,324.68,332.13,319.67,325.86,347496
2025-02-03,315.27,317.36,303.54,310.76,50000
2025-02-02,313.15,318.25,307.31,309.31,50000
2025-02-01,311.50,317.74,302.38,311.14,216694
2025-01-31,312.94,312.98,301.50,308.71,50000
2025-01-30,307.92,310.16,299.28,301.06,208628
2025-01-29,301.98,315.63,295.69,306.37,50000
2025-01-28,294.93,297.01,276.46,286.27,494761
2025-01-27,285.26,299.00,284.45,288.44,900020
2025-01-26,297.95,315.88,297.01,302.70,301704
2025-01-25,301.39,310.90,300.62,304.35,375001
2025-01-24,309.02,317.40,301.56,310.88,50000
2025-01-23,303.93,307.33,297.91,299.12,50000
2025-01-22,310.62,321.24,308.82,317.12,774548
2025-01-21,310.16,329.55,285.15,322.67,799314
2025-01-20,312.34,329.19,310.36,320.82,50000
2025-01-19,307.16,311.83,303.12,309.47,378796
2025-01-18,321.94,322.23,311.97,316.83,50000
2025-01-17,310.96,319.19,303.29,308.88,77242
2025-01-16,303.88,318.31,298.28,317.97,364389
2025-01-15,316.06,316.33,313.24,314.93,50000
2025-01-14,317.77,321.36,306.60,311.96,742902
2025-01-13,315.65,316.67,306.04,313.49,242881
2025-01-12,308.09,322.39,302.76,305.65,50000
2025-01-11,294.33,304.35,293.05,301.99,50000
2025-01-10,311.82,317.87,299.47,313.64,50000
2025-01-09,321.84,325.26,310.07,312.23,240425
2025-01-08,315.06,320.17,312.84,319.57,401355
2025-01-07,312.05,320.41,300.57,319.05,724769
2025-01-06,314.71,323.77,294.24,302.16,50000
2025-01-05,302.63,306.85,300.67,304.18,50000
2025-01-04,307.74,313.33,293.48,300.61,729467
2025-01-03,295.28,301.24,286.24,290.09,669569
2025-01-02,292.40,295.71,287.07,293.64,640615
2025-01-01,298.50,302.18,294.87,301.75,68623
2024-12-31,298.36,307.56,294.42,299.34,50000
2024-12-30,296.17,298.84,286.21,289.76,406744
2024-12-29,289.65,296.01,284.33,288.85,411415
2024-12-28,290.08,293.55,285.41,288.20,645322
2024-12-27,291.80,297.21,288.72,295.40,247598
2024-12-26,306.40,317.32,301.73,314.93,50000
2024-12-25,318.39,320.71,312.19,318.90,693615
2024-12-24,308.85,308.93,288.68,304.21,50000
2024-12-23,306.40,310.32,302.43,306.23,50000
2024-12-22,296.64,305.01,291.61,297.89,50000
2024-12-21,300.40,300.85,290.38,296.97,50000
2024-12-20,295.83,308.44,292.54,305.08,540343
2024-12-19,310.73,314.66,305.92,306.50,50000
2024-12-18,302.19,310.93,301.45,302.95,462872
2024-12-17,292.73,300.16,289.63,294.91,50000
2024-12-16,299.47,299.75,288.80,296.42,50000
2024-12-15,285.19,288.86,282.04,286.12,50000
2024-12-14,284.30,289.46,277.36,280.97,478259
2024-12-13,271.75,276.40,256.28,270.83,50000
2024-12-12,272.56,277.97,266.67,270.73,355006
2024-12-11,272.61,280.06,270.04,274.26,682740
2024-12-10,275.23,279.51,275.10,275.48,50000
2024-12-09,276.29,280.38,270.58,271.32,50000
2024-12-08,266.47,267.66,263.44,265.77,50000
2024-12-07,263.96,275.26,262.00,265.56,50000
2024-12-06,255.76,257.71,249.35,256.44,371165
2024-12-05,252.17,256.50,240.44,243.63,181884
2024-12-04,244.50,250.04,241.91,243.74,651226
2024-12-03,245.40,254.80,237.12,245.56,265525
2024-12-02,247.67,261.91,240.60,256.23,251403
2024-12-01,257.08,258.99,245.53,248.75,50000
2024-11-30,250.30,255.16,244.09,254.11,804115
2024-11-29,253.92,262.51,246.52,258.03,761699
2024-11-28,251.40,258.88,250.21,258.79,50000
2024-11-27,259.91,270.44,256.34,262.91,50000
2024-11-26,267.27,277.24,260.34,273.66,191875
2024-11-25,269.95,287.80,269.81,278.38,709092
2024-11-24,275.16,281.08,270.39,273.54,50000
2024-11-23,280.49,295.86,262.00,270.13,50000
