Date,Open,High,Low,Close,Volume
2025-03-02,47.75,48.78,46.17,46.35,50000
2025-03-01,45.22,46.20,43.79,45.34,50000
2025-02-28,45.75,46.29,43.21,43.31,50000
2025-02-27,42.84,43.05,42.30,42.88,50000
2025-02-26,42.27,43.20,39.56,41.68,706448
2025-02-25,41.37,41.49,38.37,39.55,709620
2025-02-24,40.99,42.74,39.77,40.22,483007
2025-02-23,40.44,40.69,38.93,39.61,50000
2025-02-22,39.03,39.10,38.70,38.88,50000
2025-02-21,38.12,38.62,37.95,38.33,50000
2025-02-20,37.45,37.73,36.47,36.63,50000
2025-02-19,37.36,37.47,36.21,36.38,889572
2025-02-18,36.73,38.18,35.87,37.55,343281
2025-02-17,38.33,38.89,36.35,37.92,153231
2025-02-16,37.23,37.72,35.57,36.38,50000
2025-02-15,37.19,37.76,36.95,37.34,407598
2025-02-14,36.81,37.85,36.52,37.25,249427
2025-02-13,38.30,39.20,37.10,37.16,551283
2025-02-12,37.20,37.83,36.93,37.12,50000
2025-02-11,36.98,37.40,35.92,36.66,50000
2025-02-10,36.57,38.95,36.24,37.83,50000
2025-02-09,37.80,38.05,37.40,37.80,479757
2025-02-08,37.06,38.60,36.75,38.04,357866
2025-02-07,37.76,37.94,36.64,36.92,50000
2025-02-06,37.40,37.84,35.95,36.88,50000
2025-02-05,37.04,37.06,35.78,36.08,424737
2025-02-04,36.89,37.61,34.04,35.56,50000
2025-02-03,35.80,36.12,34.58,35.68,934746
2025-02-02,34.92,35.96,34.01,35.15,761345
2025-02-01,35.17,35.87,33.75,34.45,318426
2025-01-31,34.04,34.19,32.55,32.60,721329
2025-01-30,32.36,33.74,31.71,32.91,530033
2025-01-29,33.35,34.29,32.19,34.03,193005
2025-01-28,33.39,34.95,33.32,34.10,624737
2025-01-27,33.46,33.73,33.08,33.30,50000
2025-01-26,33.65,34.28,32.83,33.38,370710
2025-01-25,33.47,33.99,32.56,33.10,50000
2025-01-24,32.87,33.03,31.59,32.54,584833
2025-01-23,32.83,33.17,31.30,31.80,50000
2025-01-22,31.05,31.40,30.09,31.24,352886
2025-01-21,31.67,32.82,31.04,31.99,532267
2025-01-20,32.84,34.07,32.06,33.96,50000
2025-01-19,34.11,34.54,34.02,34.25,50000
2025-01-18,33.72,34.54,33.55,34.15,341019
2025-01-17,33.92,34.29,33.15,33.43,110075
2025-01-16,32.61,33.41,32.45,33.15,50000
2025-01-15,33.06,34.24,32.12,33.78,425420
2025-01-14,32.92,33.03,31.78,32.85,215911
2025-01-13,32.12,32.24,31.76,31.86,226956
2025-01-12,32.65,33.10,31.74,32.56,50000
2025-01-11,32.49,33.30,32.11,32.26,174841
2025-01-10,32.57,32.91,31.53,32.17,50000
2025-01-09,31.61,32.04,30.94,31.76,883812
2025-01-08,32.46,33.05,30.98,31.96,50000
2025-01-07,31.95,34.09,30.42,32.45,50000
2025-01-06,31.48,32.54,31.01,31.77,1465351
2025-01-05,31.85,31.94,31.26,31.30,252033
2025-01-04,30.59,32.02,30.37,31.65,80668
2025-01-03,32.40,32.60,32.28,32.31,305552
2025-01-02,32.96,35.61,31.95,33.47,754386
2025-01-01,33.68,35.12,33.58,34.12,50000
2024-12-31,33.09,33.75,32.55,33.71,50000
2024-12-30,33.09,33.45,32.34,33.32,50000
2024-12-29,32.41,32.84,31.99,32.10,402430
2024-12-28,31.61,31.83,29.98,30.59,234257
2024-12-27,31.03,31.36,30.18,30.68,50000
2024-12-26,30.56,30.68,29.64,29.94,50000
2024-12-25,29.95,30.36,29.21,29.95,216272
2024-12-24,29.86,30.14,28.85,29.39,50000
2024-12-23,28.91,29.36,27.99,28.11,50000
2024-12-22,28.81,29.69,27.71,27.92,50000
2024-12-21,27.20,27.21,26.14,26.61,821850
2024-12-20,26.32,26.77,25.08,25.99,1194149
2024-12-19,26.63,27.14,26.08,26.48,126745
2024-12-18,25.86,26.30,24.68,24.82,50000
2024-12-17,25.07,25.39,24.97,25.04,312319
2024-12-16,24.82,25.09,23.60,24.55,536326
2024-12-15,24.72,25.66,24.16,25.18,468854
2024-12-14,25.66,26.94,25.41,26.30,673563
2024-12-13,26.82,27.95,26.06,27.73,50000
2024-12-12,28.44,28.55,27.47,28.06,50000
2024-12-11,27.87,28.12,27.43,27.85,147397
2024-12-10,28.39,28.69,27.08,27.55,50000
2024-12-09,27.41,27.80,26.34,26.56,471071
2024-12-08,27.57,28.14,27.41,27.87,856637
2024-12-07,28.72,28.79,28.31,28.56,308781
2024-12-06,28.84,30.42,28.45,28.58,807289
2024-12-05,28.23,29.21,28.14,28.47,1270885
2024-12-04,27.63,27.77,27.48,27.63,284222
2024-12-03,28.23,29.34,27.76,28.75,50000
2024-12-02,28.46,29.99,28.21,29.17,709191
2024-12-01,28.79,29.88,27.68,29.41,50000
2024-11-30,28.94,29.77,28.35,29.23,65715
2024-11-29,28.96,29.08,27.91,28.13,50000
2024-11-28,29.37,29.84,28.25,28.92,1519573
2024-11-27,28.22,29.09,27.54,28.89,810145
2024-11-26,29.29,29.45,29.16,29.42,294297
2024-11-25,28.81,29.85,28.18,29.83,50000
2024-11-24,29.35,30.99,29.18,30.65,50000
2024-11-23,31.14,32.77,31.10,32.04,829992
