Date,Open,High,Low,Close,Volume
2025-03-02,148.27,152.31,147.70,149.32,50000
2025-03-01,145.64,151.23,134.19,135.85,50000
2025-02-28,139.00,141.82,136.50,139.73,50000
2025-02-27,142.74,147.33,142.18,147.17,196695
2025-02-26,149.31,150.35,147.47,147.65,727810
2025-02-25,151.64,154.75,148.38,152.89,80655
2025-02-24,150.47,157.04,149.00,151.82,50000
2025-02-23,148.85,153.67,143.68,144.82,50000
2025-02-22,142.84,144.22,135.06,139.90,582496
2025-02-21,133.86,134.40,130.45,133.94,527962
2025-02-20,131.36,133.42,129.42,131.64,50000
2025-02-19,136.18,137.54,134.02,136.17,50000
2025-02-18,137.02,142.15,133.06,139.22,521170
2025-02-17,138.83,140.72,136.28,136.95,50000
2025-02-16,139.42,142.75,139.15,140.58,50000
2025-02-15,138.09,138.87,126.54,135.31,1252764
2025-02-14,133.18,135.45,129.07,131.42,312089
2025-02-13,133.72,135.46,128.89,132.09,231478
2025-02-12,128.90,130.91,123.29,129.92,50000
2025-02-11,128.48,130.39,126.65,129.38,543630
2025-02-10,131.29,132.27,126.33,126.62,50000
2025-02-09,128.92,131.62,125.65,126.40,50000
2025-02-08,129.28,131.65,126.67,129.05,50000
2025-02-07,128.79,133.22,125.97,127.25,1644410
2025-02-06,129.44,129.54,122.30,126.36,1374050
2025-02-05,128.39,129.71,126.99,128.00,50000
2025-02-04,125.82,128.84,121.07,126.65,845570
2025-02-03,128.11,128.76,123.37,125.12,50000
2025-02-02,122.74,122.81,114.89,118.74,50000
2025-02-01,116.46,116.64,114.82,115.75,68001
2025-01-31,115.84,118.14,114.04,117.31,50000
2025-01-30,117.82,120.64,116.58,117.54,50000
2025-01-29,116.92,120.25,116.39,118.66,50000
2025-01-28,115.80,119.09,114.49,118.63,308605
2025-01-27,117.34,121.35,116.66,117.77,540384
2025-01-26,116.86,124.82,115.68,122.42,289915
2025-01-25,122.77,124.68,119.03,121.13,1206638
2025-01-24,118.81,123.08,113.63,115.62,189586
2025-01-23,115.73,116.63,113.08,114.42,113945
2025-01-22,116.14,117.51,115.27,117.14,50000
2025-01-21,119.53,121.31,115.53,117.82,170154
2025-01-20,122.27,123.22,121.17,121.71,276185
2025-01-19,116.43,118.97,112.82,114.61,753426
2025-01-18,112.76,117.24,111.68,113.96,231716
2025-01-17,110.57,113.28,106.57,107.73,50000
2025-01-16,107.27,107.77,104.49,105.00,50000
2025-01-15,108.92,110.92,108.14,109.83,50000
2025-01-14,108.13,110.00,102.44,108.23,529306
2025-01-13,107.20,109.03,101.97,108.66,613764
2025-01-12,108.85,118.96,104.63,112.36,50000
2025-01-11,112.70,119.88,109.91,118.61,596656
2025-01-10,114.67,116.81,110.86,116.42,519956
2025-01-09,117.36,119.02,114.41,115.14,50000
2025-01-08,115.73,116.90,114.63,115.86,243469
2025-01-07,118.11,125.83,113.15,122.30,50000
2025-01-06,121.00,121.22,116.56,119.28,50000
2025-01-05,123.57,126.56,122.18,122.19,707933
2025-01-04,123.86,125.63,123.02,124.75,237938
2025-01-03,123.94,126.54,120.75,126.53,50000
2025-01-02,125.35,128.05,123.97,126.19,50000
2025-01-01,130.41,132.25,123.86,131.89,347205
2024-12-31,130.25,134.39,122.63,126.28,50000
2024-12-30,125.97,126.95,123.21,125.26,50000
2024-12-29,125.53,127.97,122.72,123.06,50000
2024-12-28,122.30,122.97,121.51,122.69,521503
2024-12-27,120.19,120.51,117.96,119.79,50000
2024-12-26,119.12,123.27,117.13,117.26,661745
2024-12-25,117.97,122.48,116.86,120.24,50000
2024-12-24,118.19,123.37,117.18,121.58,50000
2024-12-23,119.62,126.02,118.82,123.96,334602
2024-12-22,123.90,127.15,119.73,123.53,953007
2024-12-21,122.83,123.05,118.95,122.89,50000
2024-12-20,123.06,127.04,121.12,125.57,275258
2024-12-19,124.31,127.19,120.61,122.83,50000
2024-12-18,123.49,126.24,122.87,124.46,640715
2024-12-17,125.11,128.47,121.37,125.21,665879
2024-12-16,126.41,132.36,125.30,126.80,50000
2024-12-15,124.93,127.49,120.28,123.15,50000
2024-12-14,123.65,127.66,120.54,125.24,729415
2024-12-13,126.32,127.07,124.28,127.06,199615
2024-12-12,131.89,136.03,131.19,135.65,50000
2024-12-11,136.15,137.84,131.30,135.37,50000
2024-12-10,132.74,140.38,130.90,137.44,50000
2024-12-09,139.75,140.96,134.35,136.17,191958
2024-12-08,134.24,141.56,132.98,138.04,50000
2024-12-07,142.34,145.65,141.66,143.29,898802
2024-12-06,142.57,142.85,140.44,140.91,132739
2024-12-05,145.23,146.07,140.68,141.76,659945
2024-12-04,150.16,155.83,146.01,147.27,221761
2024-12-03,144.13,148.68,144.12,146.42,50000
2024-12-02,149.81,155.04,147.36,148.67,50000
2024-12-01,150.61,151.79,141.84,143.18,50000
2024-11-30,145.60,146.22,142.64,143.40,50000
2024-11-29,143.66,144.82,138.52,139.08,50000
2024-11-28,136.34,140.49,133.69,136.89,783477
2024-11-27,135.32,136.97,133.38,134.20,477381
2024-11-26,131.79,133.96,127.54,128.23,1209624
2024-11-25,134.12,138.64,132.73,135.08,659013
2024-11-24,134.96,136.90,129.78,133.61,376766
2024-11-23,134.14,139.44,132.18,134.81,188189
