Date,Open,High,Low,Close,Volume
2025-03-02,138.17,139.28,134.71,138.42,50000
2025-03-01,142.91,152.43,135.41,141.59,50000
2025-02-28,142.92,143.28,134.90,139.65,163446
2025-02-27,143.46,150.21,143.10,149.36,674486
2025-02-26,150.76,156.30,148.78,149.06,218169
2025-02-25,146.06,151.82,145.90,148.42,50000
2025-02-24,150.40,153.83,141.09,142.21,50000
2025-02-23,137.86,139.45,134.49,137.94,50000
2025-02-22,137.78,141.84,133.71,134.07,849214
2025-02-21,135.12,136.14,131.97,133.22,188354
2025-02-20,136.87,140.21,131.50,137.77,50000
2025-02-19,132.80,134.91,131.48,133.04,739342
2025-02-18,131.53,138.12,128.55,134.36,607909
2025-02-17,134.83,139.51,129.53,132.31,177986
2025-02-16,134.51,135.79,130.78,131.78,56557
2025-02-15,136.71,137.39,134.48,134.69,50000
2025-02-14,136.94,142.26,136.15,136.60,50000
2025-02-13,137.16,138.02,134.02,135.39,166071
2025-02-12,133.71,139.10,130.76,138.15,50000
2025-02-11,134.48,137.21,134.07,136.00,557065
2025-02-10,134.07,134.74,122.14,127.59,50000
2025-02-09,124.68,131.75,122.83,127.90,863718
2025-02-08,132.91,135.13,129.15,130.01,174475
2025-02-07,133.86,136.89,129.08,135.02,50000
2025-02-06,134.99,139.04,128.60,132.50,1382506
2025-02-05,130.62,131.90,125.64,131.28,490942
2025-02-04,134.14,141.09,131.08,135.50,50000
2025-02-03,132.80,136.03,131.07,131.27,50000
2025-02-02,127.87,128.48,125.63,126.46,1086743
2025-02-01,125.48,128.29,122.60,124.82,50000
2025-01-31,121.93,124.07,118.09,120.22,50000
2025-01-30,119.36,120.13,116.36,118.44,347804
2025-01-29,114.87,117.26,109.62,111.51,50000
2025-01-28,114.01,120.39,112.49,115.61,50000
2025-01-27,118.26,120.45,117.99,119.03,306099
2025-01-26,118.66,120.22,116.77,117.45,1704438
2025-01-25,116.98,119.40,115.87,117.61,569699
2025-01-24,113.79,114.66,111.07,114.37,755605
2025-01-23,111.98,116.19,111.44,113.95,228133
2025-01-22,111.55,113.54,108.44,109.73,681492
2025-01-21,105.88,108.98,102.62,104.03,50000
2025-01-20,102.88,103.45,99.24,99.63,212829
2025-01-19,101.80,107.97,100.73,104.64,770341
2025-01-18,103.50,107.79,100.47,103.90,50000
2025-01-17,104.26,104.70,97.21,99.06,183855
2025-01-16,100.13,104.01,98.03,102.16,324116
2025-01-15,104.24,104.51,98.68,102.82,50000
2025-01-14,101.91,107.49,98.52,107.43,50000
2025-01-13,103.86,105.47,99.93,103.09,50000
2025-01-12,104.12,106.96,103.25,104.01,50000
2025-01-11,105.41,106.88,102.94,104.81,424552
2025-01-10,103.60,105.28,103.33,105.20,137605
2025-01-09,101.83,103.98,99.12,102.00,174292
2025-01-08,100.62,101.25,97.07,99.04,50000
2025-01-07,98.33,100.96,98.03,100.34,50000
2025-01-06,101.50,104.58,101.21,101.90,50000
2025-01-05,99.12,101.70,98.24,100.10,419787
2025-01-04,103.69,107.34,100.44,101.40,50000
2025-01-03,101.25,101.30,98.79,99.43,144675
2025-01-02,98.10,99.37,96.10,98.14,50000
2025-01-01,97.75,99.47,97.28,97.94,142619
2024-12-31,98.14,100.47,94.79,100.29,50000
2024-12-30,101.66,103.73,100.72,103.39,50000
2024-12-29,107.08,107.56,102.38,105.88,50000
2024-12-28,106.30,109.77,102.83,103.29,278782
2024-12-27,105.14,108.58,101.66,105.58,305331
2024-12-26,106.39,107.45,103.48,103.78,610890
2024-12-25,101.84,105.95,101.47,105.38,50000
2024-12-24,105.62,106.80,104.55,106.04,325769
2024-12-23,107.58,110.96,103.92,104.01,50000
2024-12-22,100.89,103.99,97.12,101.13,717235
2024-12-21,99.89,102.48,98.83,101.49,50000
2024-12-20,104.12,105.13,102.60,103.97,50000
2024-12-19,101.47,104.50,97.45,101.90,114646
2024-12-18,98.79,102.00,97.47,101.34,1205203
2024-12-17,103.61,106.17,100.18,102.63,50000
2024-12-16,104.79,107.54,98.76,102.61,1347883
2024-12-15,97.26,98.87,95.82,96.34,351260
2024-12-14,97.80,99.31,93.41,94.85,160243
2024-12-13,95.97,97.79,95.14,95.37,440488
2024-12-12,95.30,96.00,91.01,92.53,50000
2024-12-11,93.18,95.18,91.02,92.21,50000
2024-12-10,93.13,95.28,90.12,90.91,456774
2024-12-09,93.83,96.48,91.67,91.73,475547
2024-12-08,90.81,91.53,88.21,91.13,274958
2024-12-07,87.98,88.17,83.88,87.10,50000
2024-12-06,87.58,91.71,85.20,88.41,50000
2024-12-05,89.12,89.12,85.56,86.02,86742
2024-12-04,89.77,94.36,88.48,93.49,50000
2024-12-03,96.61,99.87,94.97,98.06,50000
2024-12-02,96.38,96.63,93.88,93.90,50000
2024-12-01,92.28,92.66,88.66,89.70,652663
2024-11-30,89.72,91.78,85.04,87.15,273116
2024-11-29,89.85,91.53,86.28,88.58,50000
2024-11-28,87.20,88.02,84.99,85.76,129319
2024-11-27,84.32,87.68,83.77,85.07,1031864
2024-11-26,85.54,86.89,85.15,85.42,92480
2024-11-25,87.55,89.31,86.66,88.88,157142
2024-11-24,90.73,95.08,87.43,92.97,50000
2024-11-23,92.52,95.37,88.28,88.85,116370
