Date,Open,High,Low,Close,Volume
2025-03-02,677.32,679.54,674.06,676.67,234841
2025-03-01,688.65,689.89,685.43,687.76,252544
2025-02-28,682.15,689.25,680.95,686.32,769369
2025-02-27,690.66,696.77,680.67,684.24,526231
2025-02-26,679.61,684.54,673.93,677.74,912051
2025-02-25,679.90,685.85,677.45,680.05,445112
2025-02-24,666.95,672.23,666.42,666.67,212364
2025-02-23,672.47,674.19,664.11,666.74,330977
2025-02-22,663.42,668.91,660.30,662.10,168215
2025-02-21,668.49,671.09,666.18,669.99,904551
2025-02-20,673.02,678.53,663.90,667.92,296072
2025-02-19,651.71,653.02,644.12,646.86,276731
2025-02-18,656.66,658.92,647.56,653.82,215946
2025-02-17,650.25,653.78,650.02,651.21,694304
2025-02-16,661.88,667.32,655.08,659.02,126140
2025-02-15,654.67,661.52,649.69,660.72,394558
2025-02-14,648.40,654.18,640.71,644.10,503482
2025-02-13,651.53,660.23,649.12,655.97,175684
2025-02-12,651.38,657.64,646.65,647.86,314303
2025-02-11,657.10,657.71,648.75,653.25,556085
2025-02-10,648.45,652.22,642.22,645.56,892427
2025-02-09,660.81,667.91,658.67,665.08,291373
2025-02-08,656.15,659.87,654.47,658.20,668246
2025-02-07,664.73,666.61,660.12,660.42,643317
2025-02-06,655.74,658.89,651.95,658.25,898412
2025-02-05,665.39,666.56,662.62,664.28,641467
2025-02-04,676.51,682.15,670.51,680.62,348024
2025-02-03,689.43,695.72,684.90,689.06,200954
2025-02-02,687.98,696.47,684.29,692.73,842984
2025-02-01,700.81,707.04,698.14,700.10,101306
2025-01-31,692.86,701.08,687.42,695.58,131528
2025-01-30,711.02,717.64,704.44,708.87,729980
2025-01-29,697.72,704.41,688.63,693.55,799800
2025-01-28,696.93,701.10,684.97,691.62,185677
2025-01-27,677.66,683.21,674.60,680.13,600001
2025-01-26,678.56,684.12,677.06,677.27,810700
2025-01-25,688.63,700.47,682.13,694.26,782805
2025-01-24,682.47,689.57,678.02,687.56,494970
2025-01-23,693.55,699.31,692.57,698.99,231344
2025-01-22,683.29,685.38,679.81,684.40,545295
2025-01-21,691.40,693.18,684.25,685.34,483755
2025-01-20,690.30,693.68,684.26,685.48,308051
2025-01-19,694.82,700.04,690.39,696.32,770331
2025-01-18,681.01,684.94,674.77,679.32,762996
2025-01-17,692.77,697.21,691.45,694.32,184585
2025-01-16,689.21,694.84,685.26,691.85,296414
2025-01-15,691.74,700.47,690.78,695.44,632447
2025-01-14,703.08,708.92,703.05,705.61,788981
2025-01-13,721.74,727.41,719.74,722.34,646612
2025-01-12,718.97,727.36,715.19,722.44,966754
2025-01-11,711.39,714.52,704.22,709.97,271830
2025-01-10,725.54,729.60,716.88,723.68,410120
2025-01-09,723.57,729.23,720.32,722.12,567066
2025-01-08,739.89,747.12,735.76,739.73,926350
2025-01-07,755.55,757.86,750.18,757.65,816310
2025-01-06,754.47,763.15,752.93,760.80,670016
2025-01-05,776.12,777.53,769.33,776.29,741092
2025-01-04,776.99,783.49,767.56,770.03,176999
2025-01-03,768.02,774.66,756.19,761.78,635510
2025-01-02,747.58,754.01,743.21,750.20,710372
2025-01-01,752.59,762.12,747.12,756.77,122564
2024-12-31,746.18,752.16,742.80,745.09,673229
2024-12-30,739.39,749.02,737.18,743.56,285579
2024-12-29,733.05,735.78,729.40,734.36,383211
2024-12-28,721.81,733.41,715.41,728.77,176269
2024-12-27,734.29,741.00,727.90,734.15,963530
2024-12-26,736.60,742.60,724.40,729.55,740976
2024-12-25,733.51,740.92,730.62,736.07,960946
2024-12-24,745.53,747.20,738.05,743.10,736194
2024-12-23,742.46,745.97,738.27,741.36,313399
2024-12-22,726.15,736.07,724.64,729.29,752612
2024-12-21,715.22,720.77,712.29,714.64,375803
2024-12-20,703.87,704.88,691.99,697.64,519846
2024-12-19,682.12,686.94,675.19,676.87,836364
2024-12-18,689.87,695.45,682.17,688.54,275501
2024-12-17,688.16,693.94,684.93,689.53,462243
2024-12-16,678.42,680.73,672.17,672.56,707474
2024-12-15,668.55,673.63,665.98,666.10,293380
2024-12-14,658.13,663.53,652.93,654.72,352090
2024-12-13,662.73,665.28,650.67,656.30,399648
2024-12-12,646.38,650.31,638.03,644.45,457733
2024-12-11,633.53,637.69,630.49,634.67,546474
2024-12-10,631.22,631.78,629.32,631.60,857509
2024-12-09,641.57,647.08,632.73,636.24,252949
2024-12-08,629.56,633.48,624.54,632.57,279413
2024-12-07,646.99,649.40,646.04,647.15,431748
2024-12-06,660.44,662.10,653.93,657.83,352663
2024-12-05,660.36,673.07,659.54,666.53,445939
2024-12-04,673.29,673.40,663.70,668.61,762723
2024-12-03,676.67,681.86,668.33,670.41,368922
2024-12-02,660.14,665.09,651.20,656.79,328933
2024-12-01,656.12,663.14,650.68,661.56,429517
2024-11-30,658.75,664.57,649.96,653.10,399245
2024-11-29,657.71,660.99,651.75,659.67,435842
2024-11-28,674.03,680.64,669.63,677.62,293272
2024-11-27,667.60,672.39,659.89,662.81,678295
2024-11-26,675.70,684.41,674.16,677.73,719292
2024-11-25,692.48,693.65,682.07,688.72,125867
2024-11-24,680.49,683.98,673.42,674.39,794186
2024-11-23,675.33,680.80,668.17,671.60,555996
