Date,Open,High,Low,Close,Volume
2025-03-02,177.43,179.76,168.25,175.64,707775
2025-03-01,176.96,177.16,171.06,174.48,141481
2025-02-28,181.05,186.50,174.99,184.63,50000
2025-02-27,183.63,184.37,180.32,184.24,810162
2025-02-26,181.27,185.80,178.34,183.95,378681
2025-02-25,185.31,193.81,180.12,192.34,50000
2025-02-24,189.44,200.92,188.18,195.46,155950
2025-02-23,201.80,211.07,194.89,204.62,135162
2025-02-22,206.48,211.51,201.16,206.95,50000
2025-02-21,206.36,207.84,200.27,202.91,50000
2025-02-20,203.27,204.94,196.78,201.61,50000
2025-02-19,203.74,204.19,195.33,196.80,905590
2025-02-18,200.87,208.63,199.38,208.24,195279
2025-02-17,206.52,206.82,201.56,205.69,50000
2025-02-16,205.15,207.15,196.66,198.07,50000
2025-02-15,199.06,199.52,195.46,197.87,215351
2025-02-14,193.44,204.69,188.88,190.42,400336
2025-02-13,190.10,190.63,180.94,189.19,50000
2025-02-12,185.04,186.30,180.00,181.78,204856
2025-02-11,173.67,175.39,164.08,168.33,50000
2025-02-10,166.23,169.67,165.50,168.08,50000
2025-02-09,167.05,177.39,166.31,174.24,577248
2025-02-08,172.52,179.95,170.47,174.93,85082
2025-02-07,171.03,172.40,168.82,171.39,50000
2025-02-06,172.01,178.44,171.24,175.82,614821
2025-02-05,171.20,176.67,168.04,173.66,50000
2025-02-04,176.38,182.72,171.40,175.61,359263
2025-02-03,170.12,171.53,168.31,169.96,50000
2025-02-02,171.18,176.53,168.85,172.00,742102
2025-02-01,170.03,177.65,166.34,167.45,52943
2025-01-31,166.74,169.81,162.91,166.26,1523423
2025-01-30,169.90,174.58,163.15,168.19,56340
2025-01-29,169.20,170.42,161.51,164.53,50000
2025-01-28,166.29,172.48,163.94,172.19,50000
2025-01-27,172.69,174.75,169.75,171.90,50000
2025-01-26,169.07,175.45,167.58,171.50,50000
2025-01-25,172.56,174.45,168.76,173.83,50000
2025-01-24,173.21,180.90,172.52,177.55,50000
2025-01-23,169.70,170.18,161.49,166.47,707235
2025-01-22,168.72,174.93,162.10,171.90,50000
2025-01-21,166.48,168.72,158.82,159.71,50000
2025-01-20,159.05,159.83,153.24,159.67,50000
2025-01-19,163.21,172.16,158.83,169.00,649031
2025-01-18,167.70,170.23,165.39,166.49,184161
2025-01-17,166.89,166.95,163.33,164.30,50000
2025-01-16,168.67,169.02,164.06,166.81,232358
2025-01-15,162.18,168.45,155.81,164.84,50000
2025-01-14,166.41,172.29,166.07,170.26,50000
2025-01-13,164.29,166.90,162.37,162.39,72574
2025-01-12,157.27,159.65,150.93,155.20,50000
2025-01-11,156.17,156.19,155.38,155.46,50000
2025-01-10,162.36,167.83,160.54,163.79,536698
2025-01-09,163.77,165.21,156.27,162.63,203430
2025-01-08,162.81,167.31,161.22,164.07,50000
2025-01-07,166.80,167.86,160.01,163.31,63335
2025-01-06,165.08,166.73,162.02,165.32,404002
2025-01-05,168.54,174.12,158.71,161.76,500073
2025-01-04,163.26,163.54,156.95,161.70,1016567
2025-01-03,163.15,164.47,157.15,162.27,260686
2025-01-02,156.51,158.25,152.41,157.97,50000
2025-01-01,158.27,166.14,156.74,164.79,125989
2024-12-31,166.25,169.14,166.14,167.66,50000
2024-12-30,172.77,176.17,171.71,175.15,821918
2024-12-29,179.59,181.50,176.94,178.45,739659
2024-12-28,174.14,183.55,172.15,181.68,628595
2024-12-27,184.05,185.60,181.70,182.36,50000
2024-12-26,181.60,193.36,177.70,188.99,182123
2024-12-25,182.01,182.96,179.20,181.54,50000
2024-12-24,185.81,190.36,179.82,187.58,50000
2024-12-23,188.98,191.04,180.57,182.99,50000
2024-12-22,189.89,194.78,183.85,191.06,614369
2024-12-21,189.40,193.73,187.00,191.87,50000
2024-12-20,202.23,202.73,196.90,198.89,50000
2024-12-19,194.91,196.90,187.30,187.55,50000
2024-12-18,179.03,187.97,177.41,183.03,107011
2024-12-17,182.79,185.23,179.93,183.39,50000
2024-12-16,183.30,184.16,173.75,180.59,492408
2024-12-15,176.59,182.80,175.55,177.87,449796
2024-12-14,176.28,184.27,167.04,173.69,254019
2024-12-13,172.10,172.99,166.37,171.19,762927
2024-12-12,167.55,174.60,165.45,171.91,50000
2024-12-11,170.91,172.77,165.30,166.74,50000
2024-12-10,166.40,170.32,166.34,168.21,614765
2024-12-09,162.05,163.25,158.47,158.48,50000
2024-12-08,158.69,161.29,158.01,159.72,50000
2024-12-07,158.73,159.54,149.42,153.68,50000
2024-12-06,149.34,154.24,145.19,148.42,627067
2024-12-05,147.17,150.50,144.59,145.01,50000
2024-12-04,142.00,145.63,139.00,142.66,75015
2024-12-03,142.13,143.37,135.73,141.02,564425
2024-12-02,139.81,145.95,138.29,144.43,452649
2024-12-01,148.94,153.76,144.36,151.72,50000
2024-11-30,149.61,149.84,144.89,146.21,50000
2024-11-29,140.53,145.09,137.95,141.04,50000
2024-11-28,143.24,148.36,141.11,145.94,174401
2024-11-27,146.70,154.31,141.53,150.64,417382
2024-11-26,149.83,153.36,148.90,152.06,50000
2024-11-25,149.02,159.15,148.83,156.17,425401
2024-11-24,156.09,160.21,150.85,152.35,50000
2024-11-23,155.81,156.83,149.43,149.96,50000
