Date,Open,High,Low,Close,Volume
2025-03-02,60.05,61.04,56.97,59.49,50000
2025-03-01,60.30,61.37,59.99,60.38,50000
2025-02-28,59.68,60.87,56.73,58.11,50000
2025-02-27,58.10,60.17,54.61,56.74,50000
2025-02-26,54.70,56.23,53.94,55.78,757937
2025-02-25,55.59,55.96,53.47,54.84,560468
2025-02-24,54.94,56.32,53.47,54.95,169729
2025-02-23,54.92,55.25,53.36,53.58,1197535
2025-02-22,56.10,56.55,55.93,56.27,50000
2025-02-21,55.37,56.87,55.12,55.21,86537
2025-02-20,54.68,55.44,51.89,53.69,50000
2025-02-19,54.27,55.46,53.96,55.25,50000
2025-02-18,55.85,56.20,55.01,55.26,50000
2025-02-17,55.50,56.58,53.83,55.83,50000
2025-02-16,55.80,56.59,52.50,54.08,416283
2025-02-15,56.02,56.16,54.45,54.85,173546
2025-02-14,56.02,56.89,55.58,56.78,50000
2025-02-13,55.02,56.70,52.11,54.18,447586
2025-02-12,54.47,55.80,53.40,55.25,50000
2025-02-11,56.54,58.93,56.12,58.34,167030
2025-02-10,59.38,63.28,58.46,62.09,171552
2025-02-09,64.38,66.18,64.28,65.88,50000
2025-02-08,65.23,65.79,63.64,64.85,50000
2025-02-07,67.43,69.24,66.98,67.95,1129560
2025-02-06,66.36,66.64,64.77,65.65,278722
2025-02-05,68.46,70.59,66.93,69.78,50000
2025-02-04,71.81,73.91,69.61,72.89,924423
2025-02-03,73.68,77.36,72.19,76.62,371101
2025-02-02,76.02,78.05,73.61,75.05,548527
2025-02-01,73.43,75.66,73.03,75.23,848000
2025-01-31,76.53,79.18,74.05,78.84,154400
2025-01-30,79.37,80.75,77.31,78.23,461813
2025-01-29,77.18,78.29,76.18,77.62,50000
2025-01-28,76.18,77.50,75.12,77.19,50000
2025-01-27,75.64,77.11,74.47,76.33,1076306
2025-01-26,73.18,73.24,69.24,71.44,50000
2025-01-25,72.12,72.74,70.56,72.60,572672
2025-01-24,70.19,72.89,69.66,72.32,50000
2025-01-23,70.32,70.73,67.72,68.46,183734
2025-01-22,67.73,68.11,64.33,65.22,652775
2025-01-21,64.60,66.42,63.39,64.20,50000
2025-01-20,65.05,65.56,63.47,65.39,392110
2025-01-19,63.64,68.68,63.10,67.47,50000
2025-01-18,68.85,70.95,68.74,69.92,50000
2025-01-17,72.05,74.56,70.21,73.77,828432
2025-01-16,72.36,72.96,71.13,72.84,50000
2025-01-15,72.31,73.19,70.61,73.00,362320
2025-01-14,71.77,73.59,70.07,72.50,50000
2025-01-13,74.24,77.06,74.20,75.63,216946
2025-01-12,74.69,75.13,71.23,73.31,389098
2025-01-11,74.09,76.36,69.50,70.68,50000
2025-01-10,70.44,70.98,67.85,68.67,671472
2025-01-09,68.40,68.44,65.90,67.49,50000
2025-01-08,68.86,71.28,68.61,69.56,50000
2025-01-07,68.62,71.09,68.31,69.68,485915
2025-01-06,70.31,70.39,67.58,69.47,50000
2025-01-05,71.20,72.60,68.34,69.42,162273
2025-01-04,68.40,69.33,66.62,68.61,440955
2025-01-03,67.62,69.28,66.55,69.05,156366
2025-01-02,70.54,74.14,69.67,71.20,50000
2025-01-01,71.60,75.19,70.54,72.44,1176862
2024-12-31,74.50,75.15,72.37,73.97,50000
2024-12-30,72.19,73.99,71.54,72.64,50000
2024-12-29,72.56,75.27,71.11,71.55,50000
2024-12-28,69.43,71.22,66.09,68.63,83765
2024-12-27,67.70,68.28,62.44,65.91,229484
2024-12-26,64.88,65.83,63.46,65.47,314967
2024-12-25,64.72,65.58,61.52,63.14,50000
2024-12-24,62.88,63.41,62.32,62.80,50000
2024-12-23,62.52,65.98,60.97,65.67,357989
2024-12-22,65.51,68.97,64.33,68.11,50000
2024-12-21,68.24,69.64,67.23,68.62,593412
2024-12-20,68.88,72.53,67.86,70.40,50000
2024-12-19,70.76,72.15,70.63,71.60,50000
2024-12-18,72.96,76.65,71.43,74.05,587327
2024-12-17,73.05,74.95,72.86,73.31,242454
2024-12-16,73.66,77.92,72.55,75.07,50000
2024-12-15,74.64,77.72,72.30,75.80,267400
2024-12-14,76.64,80.47,76.43,77.96,508912
2024-12-13,76.83,80.77,74.75,79.59,50000
2024-12-12,76.84,78.86,75.73,76.85,50000
2024-12-11,79.26,81.41,74.88,76.61,445729
2024-12-10,78.33,80.95,77.89,80.18,50000
2024-12-09,80.41,81.72,78.23,81.68,1085341
2024-12-08,83.36,83.97,81.06,83.25,50000
2024-12-07,82.98,85.43,82.83,84.92,413152
2024-12-06,83.97,86.91,83.12,84.80,164654
2024-12-05,85.09,86.41,82.46,84.33,50000
2024-12-04,84.34,86.17,83.00,84.62,50000
2024-12-03,84.15,87.48,82.81,84.02,116605
2024-12-02,81.20,82.30,74.44,78.78,50000
2024-12-01,77.96,79.06,76.30,76.39,453651
2024-11-30,76.68,79.61,75.18,77.54,1389042
2024-11-29,78.24,81.27,77.61,80.11,50000
2024-11-28,79.46,82.66,76.87,78.24,50000
2024-11-27,79.65,79.81,76.87,77.83,50000
2024-11-26,74.95,78.12,74.26,75.25,229410
2024-11-25,73.89,74.29,71.82,72.68,1478756
2024-11-24,73.59,75.94,73.56,74.43,50000
2024-11-23,75.81,78.09,74.44,77.51,679862
