Date,Open,High,Low,Close,Volume
2025-03-02,423.68,423.92,416.23,420.08,518157
2025-03-01,412.03,412.34,408.00,411.83,280351
2025-02-28,403.54,407.30,400.23,405.79,936499
2025-02-27,412.11,414.64,405.48,409.24,594363
2025-02-26,410.06,411.73,406.29,411.73,557138
2025-02-25,419.28,421.14,414.20,416.76,636572
2025-02-24,415.49,415.99,411.72,415.82,828488
2025-02-23,412.42,416.46,410.81,413.05,370190
2025-02-22,422.18,422.60,419.28,420.03,129969
2025-02-21,417.68,419.46,411.62,414.22,443368
2025-02-20,403.90,407.11,402.73,404.53,600382
2025-02-19,402.04,405.17,401.48,403.31,525515
2025-02-18,411.10,413.16,405.60,409.03,100207
2025-02-17,399.58,402.10,396.62,401.94,923454
2025-02-16,394.49,396.45,390.70,391.83,733211
2025-02-15,385.39,385.68,383.17,384.88,133972
2025-02-14,377.69,381.43,375.57,378.14,881485
2025-02-13,376.98,377.07,373.97,375.84,805362
2025-02-12,383.29,390.24,379.76,387.05,970146
2025-02-11,382.23,384.42,376.35,378.96,655360
2025-02-10,385.31,391.36,381.66,387.66,645705
2025-02-09,393.20,395.06,389.49,393.62,219502
2025-02-08,403.01,404.11,396.74,400.15,887296
2025-02-07,404.45,406.16,400.07,400.67,289122
2025-02-06,407.27,408.45,405.70,405.87,813604
2025-02-05,396.35,398.46,394.96,397.58,900585
2025-02-04,400.29,405.32,396.75,401.88,281826
2025-02-03,405.74,406.94,399.25,403.04,772597
2025-02-02,408.93,411.97,404.39,408.16,317635
2025-02-01,409.86,415.19,408.99,412.02,375748
2025-01-31,402.92,402.97,399.84,400.49,632164
2025-01-30,404.56,409.60,400.83,406.98,548388
2025-01-29,410.84,411.52,408.54,408.89,213134
2025-01-28,402.54,404.41,397.10,399.19,790017
2025-01-27,398.95,401.02,395.68,397.63,369156
2025-01-26,403.72,405.31,400.55,404.91,182841
2025-01-25,398.49,402.78,395.49,399.39,212342
2025-01-24,390.49,391.54,388.97,389.42,550178
2025-01-23,392.59,393.38,387.42,390.06,195669
2025-01-22,392.74,394.64,388.38,389.29,427265
2025-01-21,397.09,398.72,390.67,394.28,415763
2025-01-20,394.17,397.07,392.67,396.49,272315
2025-01-19,395.45,397.76,391.61,392.64,841134
2025-01-18,393.26,395.92,386.60,390.10,170618
2025-01-17,396.47,399.03,395.86,397.53,949867
2025-01-16,392.36,397.40,388.68,393.87,941749
2025-01-15,384.51,386.86,382.12,386.55,525282
2025-01-14,396.19,399.49,394.32,397.59,239578
2025-01-13,389.22,389.55,386.71,388.48,433486
2025-01-12,388.23,391.57,388.10,388.28,350304
2025-01-11,381.45,383.78,380.59,380.77,222315
2025-01-10,373.42,375.42,370.67,373.76,571228
2025-01-09,369.25,371.63,365.72,366.55,459038
2025-01-08,365.50,369.76,364.10,368.97,434482
2025-01-07,377.91,379.50,375.48,376.85,342463
2025-01-06,368.29,368.84,365.37,368.13,736329
2025-01-05,365.13,369.89,362.43,366.25,610668
2025-01-04,358.56,361.20,355.94,359.65,695970
2025-01-03,362.06,365.33,360.32,362.30,373988
2025-01-02,360.89,364.50,360.77,363.87,492929
2025-01-01,359.59,361.74,359.12,361.57,912284
2024-12-31,357.81,357.83,354.35,357.13,556603
2024-12-30,352.99,354.63,350.03,352.88,824991
2024-12-29,357.40,358.59,354.14,357.04,503812
2024-12-28,365.75,367.29,360.58,362.92,405482
2024-12-27,361.24,362.02,360.47,361.44,812127
2024-12-26,363.46,368.59,360.24,365.32,619975
2024-12-25,364.75,368.29,360.96,361.64,635264
2024-12-24,353.56,356.50,349.61,352.20,159942
2024-12-23,360.67,362.97,355.91,359.18,489177
2024-12-22,360.16,365.45,356.73,362.08,101560
2024-12-21,358.79,365.32,358.00,362.11,694297
2024-12-20,356.96,358.77,352.21,353.78,334938
2024-12-19,359.79,362.40,355.73,358.61,918974
2024-12-18,361.32,363.20,357.97,360.09,224259
2024-12-17,359.15,362.38,357.23,361.67,532047
2024-12-16,359.25,361.72,353.28,356.47,260971
2024-12-15,348.05,349.33,346.89,349.03,369666
2024-12-14,357.60,360.98,356.47,359.28,224866
2024-12-13,365.67,365.98,364.95,365.48,993648
2024-12-12,359.86,360.57,356.43,358.39,717181
2024-12-11,362.52,363.81,360.63,363.08,162802
2024-12-10,357.64,360.63,354.31,358.01,994088
2024-12-09,356.67,357.44,352.27,353.92,153787
2024-12-08,354.36,359.85,353.59,357.63,816689
2024-12-07,358.66,362.35,355.25,361.47,835698
2024-12-06,358.62,360.59,354.69,355.13,819255
2024-12-05,359.13,362.47,357.52,361.54,717998
2024-12-04,363.09,363.45,357.33,360.06,657130
2024-12-03,352.16,356.51,349.00,353.43,553972
2024-12-02,348.11,349.83,345.17,347.98,653003
2024-12-01,349.55,349.71,345.44,346.35,619372
2024-11-30,352.44,354.56,352.28,354.54,712013
2024-11-29,360.24,360.31,358.17,359.20,201139
2024-11-28,360.20,360.75,356.39,357.56,582324
2024-11-27,363.05,365.69,362.57,365.14,882414
2024-11-26,357.96,361.45,357.31,358.91,432485
2024-11-25,355.74,357.06,351.20,352.85,178859
2024-11-24,353.27,354.40,351.23,352.33,168576
2024-11-23,354.17,356.16,351.18,355.74,411140
