Date,Open,High,Low,Close,Volume
2025-03-02,484.11,488.08,479.32,486.19,725295
2025-03-01,479.26,480.38,476.58,477.52,404542
2025-02-28,478.46,479.00,475.48,477.03,758749
2025-02-27,487.28,487.87,484.20,484.96,818302
2025-02-26,495.92,498.79,488.47,493.13,453558
2025-02-25,497.26,497.91,491.21,493.58,784338
2025-02-24,484.72,487.54,484.69,486.80,919687
2025-02-23,483.24,484.47,479.34,483.24,589799
2025-02-22,477.50,479.26,473.68,478.73,856794
2025-02-21,467.09,469.51,463.89,468.51,509867
2025-02-20,457.16,461.03,452.56,455.96,850656
2025-02-19,464.05,469.25,463.94,466.78,448571
2025-02-18,471.09,473.75,465.23,466.76,385443
2025-02-17,475.57,478.03,471.64,473.47,686573
2025-02-16,464.66,464.94,456.22,460.60,247238
2025-02-15,461.60,461.75,458.15,458.92,307241
2025-02-14,448.73,451.63,443.85,444.32,513497
2025-02-13,439.41,443.64,436.93,439.34,396700
2025-02-12,429.33,433.26,425.24,428.08,550884
2025-02-11,436.66,440.94,433.78,436.81,278084
2025-02-10,438.94,440.80,434.94,439.66,288395
2025-02-09,439.63,443.10,432.68,435.93,141250
2025-02-08,436.06,440.38,430.51,431.71,825616
2025-02-07,434.62,435.31,432.82,432.87,834251
2025-02-06,425.27,428.89,421.08,421.65,358938
2025-02-05,418.37,421.44,415.39,416.94,524074
2025-02-04,414.12,418.72,412.53,415.83,434752
2025-02-03,414.99,418.43,411.01,411.12,540961
2025-02-02,418.75,422.52,415.44,416.70,149921
2025-02-01,409.15,414.61,406.40,411.29,880520
2025-01-31,406.92,408.33,402.92,404.52,550599
2025-01-30,396.87,399.41,395.22,396.86,783675
2025-01-29,390.43,393.63,384.95,386.89,624290
2025-01-28,388.13,391.93,383.60,386.23,531515
2025-01-27,383.28,388.01,380.56,384.51,300657
2025-01-26,378.38,380.12,375.65,376.68,963511
2025-01-25,377.50,378.86,375.45,375.56,502191
2025-01-24,379.44,383.14,376.04,380.23,618122
2025-01-23,376.90,379.21,375.10,376.02,874648
2025-01-22,375.28,375.87,371.12,373.72,953481
2025-01-21,374.60,378.12,371.21,374.56,559891
2025-01-20,383.37,384.30,380.06,380.85,850155
2025-01-19,377.63,378.08,371.61,375.03,803458
2025-01-18,366.77,368.50,364.10,367.45,501648
2025-01-17,364.46,365.07,360.59,361.12,356893
2025-01-16,366.75,370.25,365.68,367.29,103715
2025-01-15,361.41,364.94,360.71,360.90,284505
2025-01-14,367.40,371.67,365.36,368.10,929927
2025-01-13,374.58,378.32,373.83,375.88,703752
2025-01-12,383.92,388.42,383.26,385.42,265127
2025-01-11,376.77,383.34,373.91,379.69,140934
2025-01-10,387.61,390.26,385.40,389.69,447542
2025-01-09,380.09,383.05,375.75,377.78,333673
2025-01-08,380.79,383.71,379.26,382.38,613760
2025-01-07,390.29,394.04,387.08,393.30,746730
2025-01-06,384.27,386.70,379.94,382.94,334696
2025-01-05,387.74,391.38,386.75,388.68,848533
2025-01-04,385.54,389.34,383.77,385.24,922477
2025-01-03,383.94,387.86,383.46,386.59,427034
2025-01-02,389.50,390.00,384.63,388.12,587288
2025-01-01,388.87,393.92,386.56,392.50,422925
2024-12-31,388.18,390.99,385.32,385.75,842017
2024-12-30,391.58,393.88,390.33,390.46,298549
2024-12-29,383.32,387.42,380.84,384.14,445604
2024-12-28,393.29,396.42,393.21,394.29,202697
2024-12-27,392.09,395.88,389.20,389.89,789197
2024-12-26,395.27,396.89,393.12,396.69,152453
2024-12-25,406.34,411.73,404.89,408.86,751011
2024-12-24,417.91,423.69,417.25,421.37,793374
2024-12-23,416.48,417.94,411.74,415.66,142360
2024-12-22,424.75,432.65,423.05,428.56,850640
2024-12-21,437.26,443.43,432.98,441.20,876946
2024-12-20,448.25,449.01,444.43,446.91,417549
2024-12-19,445.65,448.33,442.79,445.83,158826
2024-12-18,451.76,452.00,448.30,450.03,852729
2024-12-17,447.06,453.72,446.29,450.64,983978
2024-12-16,456.74,457.69,456.72,457.40,647113
2024-12-15,455.46,460.90,454.96,458.88,654503
2024-12-14,464.86,468.28,460.52,466.65,430327
2024-12-13,467.00,468.80,463.11,468.34,430061
2024-12-12,471.92,473.56,467.25,467.56,380228
2024-12-11,471.85,473.13,467.77,472.73,938552
2024-12-10,479.04,482.00,471.30,475.23,877777
2024-12-09,463.90,466.26,456.38,459.32,335198
2024-12-08,463.11,467.71,460.66,466.82,474006
2024-12-07,468.78,470.40,463.80,467.20,832678
2024-12-06,475.26,475.62,468.60,471.88,513076
2024-12-05,461.92,468.42,461.55,464.17,147920
2024-12-04,466.55,470.01,463.22,464.16,846474
2024-12-03,458.76,461.67,456.38,458.39,439295
2024-12-02,460.47,464.36,456.04,463.43,585202
2024-12-01,457.17,461.22,455.98,459.80,883126
2024-11-30,459.17,463.07,458.29,461.44,239751
2024-11-29,470.72,473.35,468.63,473.21,429690
2024-11-28,476.40,479.83,468.64,472.14,322393
2024-11-27,470.04,471.49,466.84,470.24,744121
2024-11-26,469.90,478.01,465.46,474.11,729463
2024-11-25,470.58,471.14,463.95,467.79,146102
2024-11-24,462.65,463.32,456.68,460.23,261580
2024-11-23,454.59,455.49,452.11,454.18,947751
