Date,Open,High,Low,Close,Volume
2025-03-02,289.23,294.22,281.32,291.50,50000
2025-03-01,278.46,290.16,278.13,281.08,342700
2025-02-28,281.73,292.77,274.29,288.71,881849
2025-02-27,295.00,299.15,285.35,295.42,396418
2025-02-26,304.26,310.96,297.91,308.60,50000
2025-02-25,305.26,319.50,294.79,313.21,335308
2025-02-24,324.49,345.35,323.15,330.87,87971
2025-02-23,330.02,338.90,321.03,325.96,50000
2025-02-22,312.90,318.47,305.36,315.27,50000
2025-02-21,313.95,320.68,305.46,313.52,366360
2025-02-20,311.03,318.66,304.89,315.69,50000
2025-02-19,323.14,333.04,322.87,329.22,50000
2025-02-18,317.60,323.27,300.56,308.35,884663
2025-02-17,311.16,318.17,300.37,306.99,50000
2025-02-16,317.80,324.90,307.58,311.06,50000
2025-02-15,303.32,307.15,295.89,306.71,50000
2025-02-14,306.75,309.46,296.79,303.87,500033
2025-02-13,297.87,324.66,293.16,311.52,746527
2025-02-12,309.81,317.91,304.52,305.43,557551
2025-02-11,311.07,316.02,304.33,315.80,50000
2025-02-10,311.60,336.33,304.01,324.86,1518785
2025-02-09,312.56,320.33,296.16,306.74,50000
2025-02-08,303.30,310.01,297.39,299.94,1089399
2025-02-07,298.85,309.38,297.31,300.16,50000
2025-02-06,296.01,306.33,284.17,292.25,50000
2025-02-05,285.35,301.32,276.56,280.36,50000
2025-02-04,280.13,281.83,270.40,271.79,50000
2025-02-03,277.84,291.02,272.46,284.46,324723
2025-02-02,284.31,295.99,277.85,279.21,364271
2025-02-01,282.73,291.60,279.64,281.18,418882
2025-01-31,273.33,283.39,263.76,265.83,443531
2025-01-30,271.34,272.61,268.49,271.11,661093
2025-01-29,276.15,281.01,275.44,275.75,50000
2025-01-28,281.03,289.10,277.43,287.99,458636
2025-01-27,290.61,291.07,277.99,285.69,50000
2025-01-26,287.55,289.84,276.56,285.79,50000
2025-01-25,287.00,296.21,286.48,291.40,50000
2025-01-24,291.89,305.39,281.59,287.40,50000
2025-01-23,284.47,285.57,281.90,282.94,367674
2025-01-22,280.66,282.33,272.39,272.94,50000
2025-01-21,262.87,268.02,259.26,264.40,704038
2025-01-20,266.49,270.15,264.52,269.73,50000
2025-01-19,276.61,279.74,273.05,279.40,578684
2025-01-18,281.73,289.98,273.26,278.52,50000
2025-01-17,286.50,287.78,269.53,284.45,297629
2025-01-16,278.38,282.60,271.77,276.44,884739
2025-01-15,273.95,279.41,262.50,273.79,340014
2025-01-14,284.97,294.48,279.36,293.33,655886
2025-01-13,302.35,302.70,290.30,295.44,265829
2025-01-12,286.50,293.85,286.01,289.35,50000
2025-01-11,297.26,299.43,285.27,292.04,50000
2025-01-10,292.94,302.11,289.60,295.92,50000
2025-01-09,292.77,293.70,289.91,290.40,630101
2025-01-08,286.85,289.10,281.04,283.46,50000
2025-01-07,280.18,280.57,267.79,272.18,50000
2025-01-06,274.51,287.90,267.50,275.78,50000
2025-01-05,278.69,279.93,272.51,273.93,50000
2025-01-04,262.64,262.92,252.02,260.04,334887
2025-01-03,254.00,262.47,248.51,258.50,456765
2025-01-02,261.19,268.86,245.63,261.57,607357
2025-01-01,270.56,271.89,267.07,269.11,50000
2024-12-31,267.38,282.45,264.07,278.92,280861
2024-12-30,287.95,301.88,287.63,292.01,886448
2024-12-29,297.76,302.75,293.91,294.54,508611
2024-12-28,297.38,303.96,277.25,291.90,50000
2024-12-27,296.95,316.05,285.73,302.92,50000
2024-12-26,297.95,305.03,287.08,292.89,375545
2024-12-25,295.28,303.72,290.16,298.08,1565277
2024-12-24,306.79,318.91,302.42,315.64,678802
2024-12-23,325.17,328.65,318.46,321.98,100586
2024-12-22,325.61,331.19,325.22,329.33,690357
2024-12-21,340.89,349.50,328.85,335.12,50000
2024-12-20,328.53,335.81,309.47,320.71,227927
2024-12-19,319.55,326.52,317.15,319.99,78332
2024-12-18,322.59,328.75,309.29,327.96,393870
2024-12-17,326.31,331.03,321.87,326.27,50000
2024-12-16,328.36,329.55,322.55,325.70,821134
2024-12-15,315.27,316.02,298.16,303.24,203787
2024-12-14,306.04,310.41,288.46,300.64,65696
2024-12-13,303.54,314.65,297.49,309.83,50000
2024-12-12,311.02,311.15,292.22,294.82,569588
2024-12-11,294.67,304.53,292.19,302.08,135515
2024-12-10,301.89,307.32,298.12,299.26,143582
2024-12-09,288.50,288.97,269.63,288.28,50000
2024-12-08,278.31,284.36,267.55,273.67,50000
2024-12-07,273.69,284.76,261.33,275.92,341453
2024-12-06,283.04,291.10,282.06,284.02,313485
2024-12-05,288.21,296.51,277.59,293.69,50000
2024-12-04,298.38,298.46,286.89,292.13,263685
2024-12-03,296.81,301.37,290.06,292.30,50000
2024-12-02,290.95,294.96,282.02,291.98,50000
2024-12-01,297.19,300.40,292.07,294.62,889636
2024-11-30,301.96,305.19,297.01,300.34,50000
2024-11-29,300.31,310.81,295.36,302.41,729615
2024-11-28,295.79,305.93,294.84,297.89,50000
2024-11-27,293.32,301.27,290.81,291.24,187282
2024-11-26,281.84,284.74,278.50,283.60,50000
2024-11-25,285.05,293.25,275.06,289.47,495459
2024-11-24,290.87,291.41,280.60,291.19,330966
2024-11-23,289.95,297.59,287.91,293.40,400800
