Date,Open,High,Low,Close,Volume
2025-03-02,466.95,480.26,465.17,477.10,522580
2025-03-01,474.27,486.49,471.87,484.88,94926
2025-02-28,483.30,484.98,466.05,477.36,667914
2025-02-27,476.69,489.82,460.26,481.25,269322
2025-02-26,482.32,540.47,482.15,514.06,50000
2025-02-25,507.26,513.11,493.72,505.69,280555
2025-02-24,519.26,532.15,500.80,514.30,50000
2025-02-23,517.83,528.68,504.11,526.52,378582
2025-02-22,543.07,553.59,536.07,542.33,423354
2025-02-21,530.40,558.28,528.28,556.42,218315
2025-02-20,548.35,551.05,540.95,541.83,50000
2025-02-19,551.69,572.30,549.69,555.23,50000
2025-02-18,565.13,570.53,553.69,557.45,50000
2025-02-17,567.41,578.44,565.64,572.50,221279
2025-02-16,547.05,557.19,528.03,556.51,574920
2025-02-15,559.72,564.06,549.47,555.01,50000
2025-02-14,551.46,586.46,548.79,564.13,428033
2025-02-13,563.80,569.88,561.32,567.46,714182
2025-02-12,552.05,558.65,532.85,549.84,597042
2025-02-11,546.97,550.07,535.14,545.72,50000
2025-02-10,551.47,555.49,544.04,553.25,189383
2025-02-09,537.32,560.93,531.18,552.62,1054923
2025-02-08,548.19,575.38,545.84,558.41,50000
2025-02-07,555.28,559.62,541.79,557.71,159846
2025-02-06,552.02,559.52,533.90,547.14,371886
2025-02-05,542.77,559.49,541.74,557.96,50000
2025-02-04,550.31,554.09,537.98,547.37,904681
2025-02-03,558.11,559.04,529.31,550.30,779584
2025-02-02,545.27,555.98,525.85,546.93,50000
2025-02-01,560.75,572.83,547.29,567.83,50000
2025-01-31,569.38,574.77,544.93,551.05,551256
2025-01-30,555.93,570.61,540.99,553.45,50000
2025-01-29,556.50,563.83,547.06,550.26,50000
2025-01-28,552.52,563.04,539.03,557.78,256958
2025-01-27,568.54,578.63,566.79,570.48,382198
2025-01-26,549.43,567.52,538.31,561.90,799566
2025-01-25,549.05,571.47,540.67,566.64,88934
2025-01-24,562.93,565.75,560.05,565.60,1147225
2025-01-23,565.14,590.79,558.93,565.37,2069819
2025-01-22,565.17,570.44,555.42,566.48,274957
2025-01-21,555.38,567.60,552.79,566.52,108542
2025-01-20,546.20,562.77,537.82,562.34,108456
2025-01-19,543.72,574.11,540.09,569.15,469065
2025-01-18,596.53,612.82,575.91,589.14,50000
2025-01-17,577.39,597.37,558.99,590.34,50000
2025-01-16,596.88,616.68,574.77,607.52,754488
2025-01-15,604.53,635.42,597.97,603.63,1040737
2025-01-14,602.53,611.08,565.57,590.52,255240
2025-01-13,590.97,599.85,575.27,588.29,90804
2025-01-12,581.77,584.41,571.37,580.17,547075
2025-01-11,570.19,577.99,566.17,574.79,50000
2025-01-10,584.84,605.62,565.73,579.45,486482
2025-01-09,554.36,579.36,553.27,562.79,522384
2025-01-08,553.10,575.47,538.99,539.52,384787
2025-01-07,536.63,544.86,524.77,528.40,50000
2025-01-06,542.38,552.46,531.57,538.39,696534
2025-01-05,537.42,579.87,530.05,552.47,50000
2025-01-04,530.37,545.28,484.32,496.66,50000
2025-01-03,514.67,518.54,506.83,509.70,50000
2025-01-02,503.86,523.50,465.61,486.16,50000
2025-01-01,483.17,489.11,469.86,472.77,570399
2024-12-31,472.23,484.10,453.90,467.48,50000
2024-12-30,472.81,473.16,447.19,452.00,50000
2024-12-29,441.96,447.16,438.43,445.87,50000
2024-12-28,437.00,462.02,422.62,450.86,563764
2024-12-27,437.01,449.06,420.34,424.18,566920
2024-12-26,429.46,444.05,409.09,436.03,153266
2024-12-25,413.65,420.78,411.10,416.67,50000
2024-12-24,395.90,412.00,384.38,403.01,283096
2024-12-23,399.61,407.30,393.27,394.40,50000
2024-12-22,386.08,386.89,355.11,363.31,175376
2024-12-21,363.07,367.08,359.19,365.16,576843
2024-12-20,349.67,361.34,348.06,359.62,206327
2024-12-19,366.66,375.47,366.48,369.31,504964
2024-12-18,370.36,380.41,362.88,379.25,50000
2024-12-17,378.43,390.80,370.98,385.68,147968
2024-12-16,390.69,399.58,388.95,393.40,61974
2024-12-15,397.98,407.36,391.98,396.56,50000
2024-12-14,397.04,409.64,392.74,403.16,182565
2024-12-13,395.82,399.66,389.34,396.30,215430
2024-12-12,400.70,404.47,392.80,403.42,50000
2024-12-11,401.37,407.98,386.85,405.66,526505
2024-12-10,405.49,424.54,387.79,394.82,50000
2024-12-09,407.16,420.97,401.40,413.18,385860
2024-12-08,419.38,420.40,401.27,403.59,497022
2024-12-07,399.57,410.06,393.31,407.33,50000
2024-12-06,392.82,404.94,387.62,402.45,228063
2024-12-05,415.55,427.52,392.71,419.18,758060
2024-12-04,409.32,412.93,383.01,398.48,882647
2024-12-03,409.89,418.29,409.39,413.57,50000
2024-12-02,402.89,413.86,394.54,400.62,50000
2024-12-01,390.16,391.53,374.62,391.50,50000
2024-11-30,378.66,387.66,369.39,372.49,498002
2024-11-29,368.54,378.29,360.02,361.10,50000
2024-11-28,360.96,371.38,353.70,370.49,684137
2024-11-27,359.74,370.93,346.13,353.05,965538
2024-11-26,360.94,374.15,360.31,368.14,932756
2024-11-25,374.94,391.21,360.05,381.65,50000
2024-11-24,371.33,383.12,368.48,373.55,316892
2024-11-23,373.59,377.75,370.44,376.52,50000
