Date,Open,High,Low,Close,Volume
2025-03-02,127.04,129.99,125.06,128.90,1545057
2025-03-01,127.10,128.02,126.27,127.59,50000
2025-02-28,130.94,132.09,126.68,128.22,50000
2025-02-27,128.27,129.38,124.23,128.55,498096
2025-02-26,125.48,129.08,124.20,125.34,50000
2025-02-25,127.25,132.41,126.01,128.79,281568
2025-02-24,133.03,135.58,129.05,129.34,807634
2025-02-23,133.39,134.78,131.54,131.85,1034444
2025-02-22,130.31,130.56,126.96,127.90,50000
2025-02-21,126.60,128.68,125.96,127.96,1438797
2025-02-20,121.80,128.36,117.03,118.74,910913
2025-02-19,122.40,126.91,118.10,124.16,533155
2025-02-18,124.52,132.50,120.03,130.41,50000
2025-02-17,129.88,130.99,127.29,127.87,50000
2025-02-16,130.15,136.96,128.24,133.47,50000
2025-02-15,130.61,134.18,129.37,133.57,774722
2025-02-14,134.32,140.98,131.70,140.16,50000
2025-02-13,140.98,143.53,138.84,141.99,329455
2025-02-12,141.34,143.27,138.40,140.34,696950
2025-02-11,142.95,146.36,138.79,138.96,50000
2025-02-10,140.25,144.25,137.58,139.81,50000
2025-02-09,140.13,142.40,137.98,142.09,50000
2025-02-08,140.54,142.79,133.94,138.11,50000
2025-02-07,137.27,139.23,135.91,137.23,303928
2025-02-06,137.58,140.31,137.51,139.78,50000
2025-02-05,140.02,141.37,130.48,134.05,220338
2025-02-04,132.85,134.01,128.92,133.68,50000
2025-02-03,134.81,140.28,131.34,136.46,696561
2025-02-02,139.66,143.10,136.84,141.10,849534
2025-02-01,142.91,144.84,141.46,141.74,50000
2025-01-31,142.52,146.88,140.70,141.29,996411
2025-01-30,144.30,146.25,136.89,138.66,91360
2025-01-29,141.46,146.73,137.61,146.27,50000
2025-01-28,140.88,147.14,137.99,142.24,1231298
2025-01-27,139.77,143.64,137.11,143.05,50000
2025-01-26,140.69,141.26,129.19,134.86,374843
2025-01-25,133.83,136.70,131.71,132.29,50000
2025-01-24,132.62,133.84,131.13,133.02,295618
2025-01-23,133.03,141.18,132.50,138.50,50000
2025-01-22,139.26,145.46,136.24,140.82,50000
2025-01-21,141.95,142.47,136.33,136.99,50000
2025-01-20,137.87,138.04,132.84,136.35,50000
2025-01-19,138.50,139.45,131.22,134.22,50000
2025-01-18,133.84,137.74,129.74,132.63,50000
2025-01-17,135.14,137.27,133.49,136.31,256432
2025-01-16,136.85,142.94,136.58,137.58,50000
2025-01-15,141.13,144.40,136.72,140.99,319453
2025-01-14,138.33,142.15,133.92,137.16,159657
2025-01-13,141.39,145.04,140.85,140.89,50000
2025-01-12,135.11,139.62,131.20,136.20,512474
2025-01-11,134.51,135.71,127.40,129.19,50000
2025-01-10,127.30,132.52,123.66,125.19,201158
2025-01-09,121.91,130.58,118.04,126.47,50000
2025-01-08,125.89,127.03,119.46,119.58,294782
2025-01-07,120.18,121.44,117.55,120.94,50000
2025-01-06,118.62,119.41,115.73,118.35,50000
2025-01-05,117.10,126.51,114.36,123.24,50000
2025-01-04,122.20,122.73,119.93,121.64,531872
2025-01-03,119.34,122.72,118.74,120.32,50000
2025-01-02,118.60,120.32,116.62,119.45,93013
2025-01-01,116.03,122.59,114.01,121.07,50000
2024-12-31,126.61,127.39,125.83,125.86,50000
2024-12-30,128.19,129.87,124.22,125.38,50000
2024-12-29,126.38,126.71,117.77,121.83,900567
2024-12-28,123.94,126.76,123.80,125.79,50000
2024-12-27,125.04,126.15,123.97,125.43,108318
2024-12-26,124.23,126.05,119.80,123.34,223349
2024-12-25,121.87,122.24,121.24,121.53,864518
2024-12-24,120.71,121.48,114.08,116.50,50000
2024-12-23,113.64,118.72,113.58,116.55,230861
2024-12-22,112.41,118.15,110.20,115.91,50000
2024-12-21,113.41,116.72,113.09,115.09,290905
2024-12-20,115.27,116.43,111.20,112.62,50000
2024-12-19,110.93,114.30,108.83,112.45,62271
2024-12-18,115.00,118.15,108.74,114.70,50000
2024-12-17,111.89,115.74,108.95,112.90,50000
2024-12-16,113.38,113.82,107.60,110.73,165528
2024-12-15,111.13,115.72,110.58,115.04,50000
2024-12-14,114.08,115.66,112.75,114.48,674048
2024-12-13,111.80,116.61,109.85,111.78,50000
2024-12-12,110.88,111.65,108.47,110.70,50000
2024-12-11,111.77,113.65,108.34,112.37,50000
2024-12-10,116.96,118.14,114.82,114.89,50000
2024-12-09,111.22,113.45,108.97,113.19,50000
2024-12-08,112.14,112.48,108.56,110.85,535427
2024-12-07,109.22,109.88,106.67,109.24,50000
2024-12-06,109.17,111.04,107.51,108.67,50000
2024-12-05,107.95,108.39,101.26,104.86,50000
2024-12-04,102.90,107.05,102.89,106.81,50000
2024-12-03,105.92,112.12,103.81,107.09,50000
2024-12-02,106.77,107.08,105.15,105.82,446569
2024-12-01,107.84,109.86,107.78,108.43,858154
2024-11-30,106.50,109.61,104.70,107.90,286743
2024-11-29,105.54,112.13,105.49,109.76,953707
2024-11-28,111.30,116.52,111.18,114.89,50000
2024-11-27,114.17,115.45,109.56,110.78,493773
2024-11-26,111.23,112.90,111.10,112.38,927780
2024-11-25,113.20,114.24,107.79,111.33,50000
2024-11-24,112.15,115.59,109.57,111.88,50000
2024-11-23,111.86,118.84,111.71,115.93,50000
