Date,Open,High,Low,Close,Volume
2025-03-02,380.27,399.48,370.48,386.43,50000
2025-03-01,372.41,390.09,362.63,387.94,50000
2025-02-28,380.94,389.18,376.17,379.29,454116
2025-02-27,383.54,388.75,368.36,377.79,50000
2025-02-26,374.95,375.09,367.32,373.08,50000
2025-02-25,365.40,373.68,362.72,366.00,50000
2025-02-24,360.53,379.93,352.63,374.35,323888
2025-02-23,362.21,370.72,358.37,362.88,50000
2025-02-22,363.33,369.47,348.88,349.31,1731286
2025-02-21,340.01,349.93,328.20,343.20,50000
2025-02-20,359.08,361.17,329.40,340.72,491151
2025-02-19,339.19,340.07,332.46,335.34,50000
2025-02-18,332.72,356.89,332.14,348.92,111306
2025-02-17,347.85,349.82,337.04,339.39,50000
2025-02-16,346.68,354.55,336.51,343.48,122080
2025-02-15,341.89,349.15,329.69,334.19,50000
2025-02-14,342.36,354.33,334.67,348.08,103427
2025-02-13,348.54,358.00,337.35,351.32,1374715
2025-02-12,337.33,340.59,329.26,329.75,50000
2025-02-11,315.64,317.45,291.95,305.71,50000
2025-02-10,297.84,306.10,295.91,301.10,753665
2025-02-09,297.46,306.77,290.38,302.93,50000
2025-02-08,289.37,302.93,278.36,290.45,253372
2025-02-07,294.71,306.59,281.66,290.32,118964
2025-02-06,288.64,301.58,286.93,296.17,50000
2025-02-05,307.29,316.28,306.68,310.21,50000
2025-02-04,308.68,316.41,294.79,309.17,210747
2025-02-03,314.30,324.25,313.25,323.68,50000
2025-02-02,322.76,327.11,314.60,319.01,50000
2025-02-01,318.55,320.18,305.38,309.01,50000
2025-01-31,312.51,313.65,302.93,310.86,50000
2025-01-30,310.93,329.69,306.37,321.19,50000
2025-01-29,331.01,339.16,323.75,328.54,50000
2025-01-28,330.20,348.93,317.02,334.46,496891
2025-01-27,319.81,322.44,308.24,314.19,50000
2025-01-26,329.31,340.89,317.75,319.15,71931
2025-01-25,313.96,327.04,308.64,318.50,1031680
2025-01-24,326.20,328.03,316.81,324.65,50000
2025-01-23,321.15,333.02,317.73,328.31,451283
2025-01-22,319.79,331.16,313.42,317.62,850797
2025-01-21,314.82,320.39,303.34,315.69,573169
2025-01-20,308.32,316.89,298.65,307.10,479511
2025-01-19,318.00,329.43,308.99,310.74,367045
2025-01-18,306.79,321.27,296.39,299.46,355866
2025-01-17,285.96,287.08,283.71,284.99,50000
2025-01-16,290.52,295.05,287.72,295.04,50000
2025-01-15,302.07,313.22,294.09,303.10,50000
2025-01-14,301.64,314.48,299.15,306.10,50000
2025-01-13,313.92,319.68,308.49,312.45,826934
2025-01-12,305.21,311.43,300.73,305.24,903496
2025-01-11,298.67,301.60,296.75,298.28,376394
2025-01-10,294.45,308.92,289.53,304.60,50000
2025-01-09,313.80,321.46,312.67,315.00,50000
2025-01-08,315.11,322.07,299.43,305.31,340455
2025-01-07,299.08,303.44,291.11,295.08,431937
2025-01-06,292.84,297.83,281.40,286.22,50000
2025-01-05,284.65,292.44,281.50,283.98,50000
2025-01-04,284.45,294.47,275.65,279.77,50000
2025-01-03,278.91,283.05,274.82,282.53,827938
2025-01-02,285.77,293.04,283.65,288.87,50000
2025-01-01,289.28,289.49,281.71,283.35,683729
2024-12-31,289.18,302.10,287.88,299.70,437118
2024-12-30,306.59,311.10,299.02,304.49,203034
2024-12-29,300.17,305.22,287.01,293.71,505855
2024-12-28,292.54,301.87,283.50,291.58,50000
2024-12-27,296.63,304.88,290.94,297.72,767615
2024-12-26,297.36,300.60,283.20,287.72,50000
2024-12-25,278.42,286.50,274.90,282.61,50000
2024-12-24,288.08,302.64,284.03,285.96,228189
2024-12-23,280.58,280.76,278.13,279.92,906184
2024-12-22,282.73,292.23,274.44,283.12,188973
2024-12-21,285.60,294.06,278.43,289.86,50000
2024-12-20,290.07,298.11,287.13,295.35,676755
2024-12-19,293.50,297.95,288.26,295.20,794314
2024-12-18,315.35,318.12,305.10,305.25,380419
2024-12-17,302.85,309.89,300.09,303.72,870246
2024-12-16,307.70,332.78,302.33,320.12,50000
2024-12-15,322.22,323.46,319.63,323.24,50000
2024-12-14,329.32,338.81,320.60,325.11,50000
2024-12-13,326.95,331.39,317.41,329.18,50000
2024-12-12,326.30,329.37,314.13,318.33,50000
2024-12-11,329.61,338.96,319.16,332.71,139471
2024-12-10,333.41,343.25,330.76,341.76,50000
2024-12-09,335.07,342.90,330.59,342.62,50000
2024-12-08,338.39,344.89,335.07,336.95,154720
2024-12-07,338.94,342.30,319.04,325.72,937333
2024-12-06,335.98,344.51,333.66,338.46,346467
2024-12-05,333.28,341.04,321.63,336.02,117935
2024-12-04,342.34,345.30,330.44,337.43,50000
2024-12-03,331.67,337.87,328.57,334.27,50000
2024-12-02,342.56,342.76,338.94,340.09,1211354
2024-12-01,339.50,354.84,323.40,348.53,50000
2024-11-30,343.75,360.81,334.19,351.32,556179
2024-11-29,347.65,353.48,334.59,337.85,50000
2024-11-28,333.16,339.97,327.18,334.50,313984
2024-11-27,329.37,342.51,324.18,326.33,50000
2024-11-26,321.16,321.16,311.48,315.85,50000
2024-11-25,315.18,331.18,309.83,325.87,50000
2024-11-24,329.47,330.91,317.08,325.89,1354460
2024-11-23,325.07,342.94,319.76,335.21,50000
