Date,Open,High,Low,Close,Volume
2025-03-02,578.86,594.54,559.63,587.40,383785
2025-03-01,586.92,595.25,568.03,573.98,692162
2025-02-28,551.98,585.20,520.43,526.90,50000
2025-02-27,537.28,550.36,533.20,547.49,50000
2025-02-26,534.64,546.71,522.53,542.49,293075
2025-02-25,541.49,558.52,535.88,535.99,837851
2025-02-24,551.62,562.41,550.54,561.70,335238
2025-02-23,534.98,541.23,517.17,532.25,71434
2025-02-22,527.46,528.50,506.31,512.74,50000
2025-02-21,499.90,508.55,492.26,500.11,337537
2025-02-20,517.08,539.49,484.65,490.57,50000
2025-02-19,513.69,518.32,511.43,511.87,91257
2025-02-18,511.27,526.74,495.59,522.69,50000
2025-02-17,544.55,561.96,532.57,537.53,118789
2025-02-16,544.55,559.88,542.80,557.68,50000
2025-02-15,552.96,572.15,527.91,562.76,50000
2025-02-14,572.55,581.99,545.43,572.94,161252
2025-02-13,561.64,583.89,546.09,561.72,268727
2025-02-12,572.82,597.91,568.18,590.42,50000
2025-02-11,605.77,610.69,592.89,603.69,86568
2025-02-10,600.82,639.86,580.89,607.27,50000
2025-02-09,616.58,621.69,615.22,621.13,50000
2025-02-08,616.87,631.26,580.66,626.01,333935
2025-02-07,644.95,672.30,620.61,636.42,575311
2025-02-06,609.09,609.97,583.30,609.41,50000
2025-02-05,592.02,620.66,583.95,606.05,50000
2025-02-04,612.19,622.03,606.31,613.76,142454
2025-02-03,606.71,644.67,587.03,630.83,50000
2025-02-02,635.15,670.57,631.59,638.85,50000
2025-02-01,619.56,663.74,596.54,635.52,391834
2025-01-31,631.06,639.89,616.26,619.22,50000
2025-01-30,628.40,643.30,625.24,636.61,50000
2025-01-29,633.91,634.17,599.17,602.78,50000
2025-01-28,594.44,605.50,567.92,581.59,224825
2025-01-27,577.50,580.01,549.83,552.53,50000
2025-01-26,572.79,582.27,559.65,566.23,50000
2025-01-25,548.72,558.50,538.97,541.50,748042
2025-01-24,555.39,570.21,524.90,534.62,50000
2025-01-23,521.44,540.89,515.90,534.88,50000
2025-01-22,543.95,576.78,539.76,553.45,244071
2025-01-21,545.09,551.16,524.71,540.05,552219
2025-01-20,529.38,534.51,507.34,521.27,424914
2025-01-19,507.74,514.89,505.71,506.43,718846
2025-01-18,516.08,527.85,509.71,514.84,452421
2025-01-17,510.50,515.47,504.77,507.40,284305
2025-01-16,506.60,513.19,500.53,509.53,50000
2025-01-15,510.38,524.95,496.23,510.62,50000
2025-01-14,497.92,510.15,488.56,504.14,65000
2025-01-13,508.73,519.56,505.23,517.91,50000
2025-01-12,505.88,520.16,501.80,504.17,116569
2025-01-11,496.96,506.09,494.39,499.44,881564
2025-01-10,507.89,508.85,490.36,507.38,347964
2025-01-09,501.97,518.39,477.43,479.27,50000
2025-01-08,495.42,500.31,483.97,499.25,454517
2025-01-07,497.48,518.55,497.43,511.83,135679
2025-01-06,526.70,544.06,521.33,534.64,580426
2025-01-05,549.21,558.41,523.56,546.18,169615
2025-01-04,543.40,555.65,531.16,547.04,363456
2025-01-03,532.99,552.31,516.07,517.33,572302
2025-01-02,525.82,538.55,516.57,529.13,617451
2025-01-01,527.26,559.22,515.08,540.16,50000
2024-12-31,519.62,552.93,506.66,535.45,320605
2024-12-30,551.69,551.83,527.26,538.37,183756
2024-12-29,522.38,526.56,522.12,526.41,668926
2024-12-28,521.25,528.17,510.36,519.46,50000
2024-12-27,514.21,544.39,503.70,524.67,50000
2024-12-26,526.50,554.20,511.71,521.59,1063006
2024-12-25,513.66,543.20,498.42,536.30,50000
2024-12-24,521.82,524.65,520.54,523.07,50000
2024-12-23,515.23,526.94,500.69,525.06,938103
2024-12-22,528.67,539.65,513.09,523.62,50000
2024-12-21,522.61,534.03,516.86,523.46,50000
2024-12-20,506.20,516.78,502.11,506.23,1026142
2024-12-19,504.13,521.41,496.69,506.56,537983
2024-12-18,512.12,518.45,482.17,497.47,161691
2024-12-17,501.84,504.49,482.32,490.70,50000
2024-12-16,506.15,535.40,499.74,515.04,564080
2024-12-15,518.87,541.71,492.51,512.39,120221
2024-12-14,508.02,515.92,489.81,508.20,50000
2024-12-13,520.08,539.05,516.85,523.23,1007909
2024-12-12,530.81,533.27,517.10,527.68,50000
2024-12-11,521.02,536.43,518.23,519.96,940212
2024-12-10,516.84,524.72,499.74,524.07,50000
2024-12-09,531.77,534.52,509.47,517.98,50000
2024-12-08,498.76,515.80,482.52,491.75,307938
2024-12-07,485.26,500.20,485.13,488.07,50000
2024-12-06,484.19,489.55,477.02,486.45,50000
2024-12-05,507.53,508.33,503.80,505.77,50000
2024-12-04,518.59,543.52,515.71,531.52,727583
2024-12-03,527.83,536.05,499.53,514.11,50000
2024-12-02,520.72,541.42,518.91,537.84,858106
2024-12-01,539.14,549.26,520.59,536.75,50000
2024-11-30,539.20,544.46,533.42,543.02,50000
2024-11-29,548.03,553.63,528.15,543.03,588217
2024-11-28,532.85,538.16,520.85,527.37,811825
2024-11-27,528.24,530.32,501.39,510.51,50000
2024-11-26,499.75,508.20,493.47,500.60,115709
2024-11-25,504.13,529.08,496.25,518.55,50000
2024-11-24,536.90,556.99,521.66,531.98,50000
2024-11-23,518.65,546.25,518.53,525.83,260262
