Date,Open,High,Low,Close,Volume
2025-03-02,712.51,731.32,692.47,704.22,50000
2025-03-01,701.69,712.11,695.61,711.41,456864
2025-02-28,695.05,703.76,676.01,681.63,131767
2025-02-27,665.98,683.98,656.39,676.96,253724
2025-02-26,671.82,677.34,663.58,665.87,50000
2025-02-25,680.05,683.68,672.66,676.29,282025
2025-02-24,660.78,666.13,635.78,651.57,148574
2025-02-23,647.50,654.92,628.51,645.66,877431
2025-02-22,651.76,653.11,624.12,637.81,50000
2025-02-21,640.05,681.33,627.73,671.76,50000
2025-02-20,679.75,708.39,665.61,700.55,289284
2025-02-19,686.14,697.75,660.37,670.11,50000
2025-02-18,663.85,697.82,658.59,681.71,50000
2025-02-17,698.12,717.02,695.32,708.70,380325
2025-02-16,710.32,715.04,701.27,706.00,50000
2025-02-15,697.22,697.45,682.01,694.27,886878
2025-02-14,701.12,727.88,679.70,682.33,50000
2025-02-13,701.45,711.71,673.19,700.78,50000
2025-02-12,699.40,703.77,684.61,687.81,1035774
2025-02-11,658.72,671.65,647.05,666.21,646357
2025-02-10,692.14,698.21,656.89,683.61,903744
2025-02-09,698.80,704.82,682.21,691.24,50000
2025-02-08,652.84,665.42,633.50,659.04,50000
2025-02-07,680.80,711.28,679.60,688.44,50000
2025-02-06,683.39,702.13,678.94,698.23,50000
2025-02-05,689.33,701.40,674.35,682.49,50000
2025-02-04,675.02,712.30,660.38,673.83,672553
2025-02-03,666.97,699.47,655.71,671.77,228324
2025-02-02,639.32,652.67,626.57,649.30,50000
2025-02-01,626.28,637.39,609.05,614.45,625868
2025-01-31,601.43,605.80,560.26,583.12,50000
2025-01-30,584.34,596.63,573.26,586.46,143420
2025-01-29,588.85,604.16,585.45,599.13,50000
2025-01-28,608.81,621.16,576.33,591.91,1267626
2025-01-27,588.44,600.58,555.93,572.60,50000
2025-01-26,575.06,597.37,568.20,577.74,922111
2025-01-25,589.56,606.42,586.72,600.45,50000
2025-01-24,589.97,610.81,587.26,591.74,673788
2025-01-23,603.28,605.94,587.12,591.85,281171
2025-01-22,588.40,623.36,579.11,600.64,50000
2025-01-21,587.61,618.89,586.99,615.00,917227
2025-01-20,617.47,639.75,614.14,620.02,843226
2025-01-19,625.40,636.47,603.12,623.54,50000
2025-01-18,625.18,636.20,604.92,621.47,50000
2025-01-17,639.19,643.76,620.30,640.84,395786
2025-01-16,633.45,642.89,599.57,609.17,518487
2025-01-15,604.39,628.35,583.88,592.84,171209
2025-01-14,602.80,615.42,593.00,609.59,832228
2025-01-13,609.50,630.65,589.14,618.27,50000
2025-01-12,613.58,616.15,596.22,600.92,50000
2025-01-11,588.68,594.03,561.03,568.64,233275
2025-01-10,558.32,584.07,556.11,559.61,98658
2025-01-09,562.00,569.92,533.42,554.30,698103
2025-01-08,552.54,568.79,541.02,551.10,1363855
2025-01-07,561.47,570.37,557.57,563.09,990436
2025-01-06,544.16,546.93,520.39,526.35,63652
2025-01-05,534.38,561.84,524.77,549.58,50000
2025-01-04,576.90,578.63,539.33,557.49,309841
2025-01-03,556.05,565.95,527.25,541.43,50000
2025-01-02,539.65,561.45,531.34,536.28,50000
2025-01-01,538.22,573.33,532.65,554.82,158752
2024-12-31,595.91,621.79,590.68,611.28,50000
2024-12-30,603.14,623.51,599.16,606.86,50000
2024-12-29,607.93,635.84,603.31,627.58,206529
2024-12-28,617.12,630.51,596.68,603.29,50000
2024-12-27,610.30,613.85,600.27,603.56,50000
2024-12-26,617.14,630.15,603.48,609.89,162661
2024-12-25,587.67,601.14,584.88,588.82,50000
2024-12-24,575.56,578.44,561.31,567.50,1635547
2024-12-23,573.74,588.18,571.15,587.71,425984
2024-12-22,591.12,598.08,560.25,581.82,50000
2024-12-21,555.33,561.68,545.80,552.41,50000
2024-12-20,547.46,571.30,538.40,556.31,50000
2024-12-19,538.75,545.71,524.60,527.96,50000
2024-12-18,539.24,551.49,529.51,544.43,66565
2024-12-17,551.54,552.39,525.68,533.97,50000
2024-12-16,537.80,546.78,516.18,522.49,881441
2024-12-15,533.32,540.19,529.20,537.22,50000
2024-12-14,534.03,551.01,531.28,545.52,50000
2024-12-13,561.52,563.11,552.84,560.97,50000
2024-12-12,556.94,562.03,552.01,556.11,50000
2024-12-11,557.11,567.13,524.06,527.73,424388
2024-12-10,513.89,532.24,482.38,499.45,917631
2024-12-09,505.92,514.28,505.35,507.63,190821
2024-12-08,517.66,522.11,492.82,515.72,741809
2024-12-07,518.81,520.04,500.17,507.35,50000
2024-12-06,503.88,520.49,492.33,517.97,50000
2024-12-05,516.85,519.50,488.37,501.15,50000
2024-12-04,489.94,499.45,481.23,494.41,50000
2024-12-03,489.22,511.50,477.19,480.88,195434
2024-12-02,454.20,454.53,444.76,446.60,524388
2024-12-01,454.81,458.91,446.02,447.38,50000
2024-11-30,440.24,450.62,428.13,444.41,332197
2024-11-29,465.46,480.49,445.72,452.89,711495
2024-11-28,449.46,450.86,441.49,445.21,424256
2024-11-27,450.61,458.35,440.69,456.22,614500
2024-11-26,453.01,465.65,441.10,444.54,166069
2024-11-25,457.61,466.26,446.53,464.22,259550
2024-11-24,473.40,482.09,461.75,462.80,183939
2024-11-23,460.64,475.30,457.48,467.32,50000
