Date,Open,High,Low,Close,Volume
2025-03-02,653.59,656.90,651.20,654.38,451436
2025-03-01,667.02,675.55,663.29,671.83,687198
2025-02-28,656.42,662.55,646.78,650.78,656296
2025-02-27,652.15,660.20,652.02,654.95,422780
2025-02-26,646.95,649.99,638.83,643.98,409101
2025-02-25,650.18,651.43,642.37,646.46,501608
2025-02-24,648.61,649.93,637.31,643.28,998893
2025-02-23,637.98,642.12,633.65,635.50,845597
2025-02-22,634.48,643.17,628.50,637.84,494671
2025-02-21,625.31,629.90,625.01,629.66,789100
2025-02-20,641.31,644.15,635.92,637.65,185040
2025-02-19,622.32,623.07,614.44,617.20,788775
2025-02-18,614.09,619.40,611.87,617.86,708876
2025-02-17,624.48,625.68,616.28,620.07,642197
2025-02-16,607.31,614.78,601.92,609.88,315915
2025-02-15,612.07,619.09,607.49,613.59,810712
2025-02-14,612.31,617.99,609.50,610.19,362395
2025-02-13,596.40,602.18,590.91,601.21,626979
2025-02-12,588.38,594.09,582.93,593.78,236055
2025-02-11,591.11,593.55,587.55,588.74,943002
2025-02-10,601.71,605.44,599.46,602.14,322784
2025-02-09,601.25,603.00,594.21,595.84,618713
2025-02-08,609.96,615.70,605.22,608.01,924234
2025-02-07,609.47,616.51,605.61,615.23,703661
2025-02-06,605.09,611.01,602.97,607.04,144750
2025-02-05,605.47,605.63,598.74,601.43,610133
2025-02-04,612.37,612.76,606.48,609.36,638540
2025-02-03,621.98,627.84,619.39,622.73,518752
2025-02-02,625.59,630.92,624.92,630.54,665883
2025-02-01,626.31,629.63,621.62,623.08,886713
2025-01-31,637.60,643.49,631.87,634.17,978934
2025-01-30,625.77,631.54,625.06,627.99,708510
2025-01-29,621.14,626.55,618.27,621.50,426272
2025-01-28,606.46,612.38,597.00,601.93,994281
2025-01-27,589.59,592.59,587.79,589.66,321575
2025-01-26,591.22,593.99,589.49,592.06,541061
2025-01-25,595.31,598.09,589.95,593.48,296970
2025-01-24,584.86,589.94,579.23,588.85,102636
2025-01-23,581.41,588.59,579.13,583.12,258435
2025-01-22,590.52,594.48,584.35,587.26,201361
2025-01-21,594.87,600.40,590.51,595.50,828033
2025-01-20,584.39,585.31,578.53,580.90,959669
2025-01-19,570.08,572.26,564.66,564.90,761034
2025-01-18,566.85,570.29,559.50,562.61,936887
2025-01-17,573.22,577.45,568.68,571.11,805396
2025-01-16,575.48,584.00,571.95,580.64,524539
2025-01-15,584.87,592.59,581.95,587.49,969330
2025-01-14,601.71,607.87,600.18,602.60,256077
2025-01-13,602.02,602.82,597.88,602.20,676991
2025-01-12,613.88,622.53,611.54,619.22,831747
2025-01-11,632.01,639.05,629.98,635.54,372930
2025-01-10,636.05,646.34,631.14,640.36,945957
2025-01-09,645.85,650.57,636.59,641.43,597177
2025-01-08,645.43,656.08,639.31,651.78,635967
2025-01-07,644.97,650.26,639.73,649.91,473419
2025-01-06,634.45,636.32,628.23,629.83,379898
2025-01-05,639.44,647.08,636.46,644.18,830718
2025-01-04,628.93,632.75,625.68,627.85,383791
2025-01-03,616.25,618.79,613.16,613.40,245604
2025-01-02,622.43,627.00,614.97,618.87,356291
2025-01-01,625.57,629.79,623.70,629.01,133878
2024-12-31,616.69,623.54,611.52,620.53,288677
2024-12-30,607.83,612.56,604.83,612.52,489026
2024-12-29,606.04,609.49,600.07,609.36,489892
2024-12-28,622.50,627.98,612.86,618.95,787583
2024-12-27,615.72,619.42,612.89,614.45,322694
2024-12-26,620.84,623.69,617.01,622.42,129874
2024-12-25,632.50,640.35,632.04,637.07,982180
2024-12-24,639.71,645.66,636.74,636.98,912893
2024-12-23,627.36,636.92,623.95,632.09,420364
2024-12-22,647.54,652.16,643.02,645.10,424820
2024-12-21,640.08,644.53,636.11,638.32,959288
2024-12-20,651.71,660.04,646.15,657.31,544252
2024-12-19,673.71,678.69,673.24,674.41,684104
2024-12-18,659.20,664.61,649.54,654.79,920022
2024-12-17,655.36,659.88,654.43,654.58,908862
2024-12-16,649.52,652.76,647.87,650.58,855231
2024-12-15,642.60,645.21,635.00,640.28,455109
2024-12-14,630.72,641.82,629.85,635.82,114313
2024-12-13,634.72,635.10,627.39,630.49,857349
2024-12-12,620.32,625.43,617.43,624.87,570824
2024-12-11,620.25,622.66,613.66,615.62,895783
2024-12-10,627.32,632.94,624.69,629.60,690851
2024-12-09,620.62,621.10,609.98,615.11,193705
2024-12-08,620.38,626.90,615.58,622.52,292228
2024-12-07,611.84,615.20,603.72,608.67,254514
2024-12-06,609.51,612.31,608.89,612.11,590097
2024-12-05,604.87,613.90,601.62,610.69,283772
2024-12-04,597.21,602.00,592.44,599.47,985905
2024-12-03,604.29,605.40,597.33,602.71,402886
2024-12-02,593.36,600.10,591.36,594.76,783608
2024-12-01,603.03,606.63,593.55,599.20,612735
2024-11-30,589.79,594.18,586.39,589.64,145550
2024-11-29,577.08,582.19,571.72,573.80,247655
2024-11-28,570.20,573.88,564.91,569.34,881385
2024-11-27,574.57,575.89,570.60,572.82,729168
2024-11-26,586.32,586.66,584.55,585.90,732031
2024-11-25,593.93,605.00,591.93,599.68,917850
2024-11-24,599.20,603.81,590.96,594.48,268990
2024-11-23,582.63,587.47,581.60,586.96,726557
