Date,Open,High,Low,Close,Volume
2025-03-02,176.86,177.14,175.91,176.34,111075
2025-03-01,178.09,183.20,173.01,176.48,50000
2025-02-28,179.03,184.16,177.44,182.04,153920
2025-02-27,182.78,185.84,179.17,181.12,1132824
2025-02-26,185.48,187.28,181.38,183.09,294299
2025-02-25,183.59,185.44,175.28,176.85,510793
2025-02-24,178.92,182.35,178.68,178.85,187249
2025-02-23,170.94,175.23,165.37,167.41,50000
2025-02-22,168.62,174.05,168.26,172.28,310266
2025-02-21,169.60,180.62,166.22,175.80,738115
2025-02-20,176.17,180.20,173.65,179.14,50000
2025-02-19,185.95,189.37,175.58,179.36,543083
2025-02-18,179.58,183.83,179.26,180.84,50000
2025-02-17,175.22,178.01,174.39,175.05,483061
2025-02-16,173.00,180.86,166.59,169.04,754754
2025-02-15,173.16,176.14,167.85,167.94,50000
2025-02-14,161.47,164.25,154.66,157.04,50000
2025-02-13,156.31,158.45,155.45,156.27,702081
2025-02-12,157.52,159.64,156.57,158.79,50000
2025-02-11,162.67,166.46,158.91,159.82,585964
2025-02-10,157.58,161.74,149.88,153.35,50000
2025-02-09,154.45,155.12,147.97,150.40,397716
2025-02-08,149.62,157.08,147.63,151.86,247947
2025-02-07,154.31,165.52,151.79,160.54,50000
2025-02-06,160.05,164.55,158.36,163.12,50000
2025-02-05,162.00,169.05,157.42,162.28,50000
2025-02-04,159.90,167.72,153.22,163.38,50000
2025-02-03,165.26,174.65,156.00,170.42,65093
2025-02-02,165.64,166.22,156.57,160.70,67054
2025-02-01,162.48,164.76,157.51,162.98,50000
2025-01-31,160.24,161.55,155.78,157.30,155541
2025-01-30,155.21,158.14,149.68,153.98,513548
2025-01-29,154.08,156.43,151.69,155.98,218455
2025-01-28,156.14,157.84,147.13,149.77,111831
2025-01-27,144.46,150.56,138.51,139.81,642049
2025-01-26,136.23,137.56,127.54,128.84,687087
2025-01-25,124.79,126.56,120.95,122.74,740107
2025-01-24,121.33,123.57,116.78,121.44,50000
2025-01-23,120.74,122.07,117.13,118.83,531938
2025-01-22,122.21,122.47,119.25,121.39,50000
2025-01-21,122.73,122.94,117.16,117.96,50000
2025-01-20,120.75,122.63,114.24,118.93,555809
2025-01-19,119.29,119.97,118.28,118.35,50000
2025-01-18,116.56,116.78,113.33,116.09,716102
2025-01-17,115.54,118.69,114.28,117.94,465530
2025-01-16,118.87,120.55,118.78,120.42,50000
2025-01-15,120.95,122.06,116.05,118.98,242825
2025-01-14,117.33,124.33,116.06,120.78,87458
2025-01-13,119.61,120.13,116.65,119.77,50000
2025-01-12,119.47,126.28,118.19,121.22,50000
2025-01-11,123.33,130.38,123.06,127.23,50000
2025-01-10,126.20,129.50,120.56,122.57,50000
2025-01-09,126.07,130.19,124.31,125.68,50000
2025-01-08,121.57,122.25,119.27,121.80,974770
2025-01-07,121.29,126.81,119.01,124.78,970067
2025-01-06,125.23,126.70,121.17,122.40,50000
2025-01-05,121.32,123.81,120.92,121.89,119786
2025-01-04,121.56,123.00,121.25,121.35,1086132
2025-01-03,122.57,125.92,118.63,119.55,50000
2025-01-02,116.15,116.65,110.68,115.48,496634
2025-01-01,112.30,115.18,108.00,108.62,137056
2024-12-31,111.44,114.20,111.34,111.65,550842
2024-12-30,113.72,114.57,110.83,112.32,50000
2024-12-29,110.85,112.36,103.31,107.59,690243
2024-12-28,110.98,118.70,110.11,114.55,50000
2024-12-27,114.06,114.87,109.04,113.83,50000
2024-12-26,114.00,114.30,111.45,112.24,50000
2024-12-25,114.35,117.45,110.60,116.75,289460
2024-12-24,116.91,118.23,112.15,116.45,392075
2024-12-23,114.23,114.77,110.36,112.85,50000
2024-12-22,114.93,117.15,110.07,110.97,160757
2024-12-21,112.67,112.82,106.22,110.36,1013949
2024-12-20,113.05,116.72,112.81,113.80,732480
2024-12-19,106.06,106.84,104.14,106.71,50000
2024-12-18,109.01,110.00,103.71,108.94,497411
2024-12-17,105.91,107.14,100.26,103.96,605975
2024-12-16,101.08,101.32,98.61,101.15,50000
2024-12-15,100.31,101.23,98.79,99.53,98592
2024-12-14,102.58,104.89,96.98,101.73,50000
2024-12-13,101.73,105.38,101.51,103.02,50000
2024-12-12,105.92,108.39,102.76,105.26,50000
2024-12-11,103.35,108.21,103.01,104.44,726954
2024-12-10,106.67,108.72,105.83,106.42,881059
2024-12-09,107.09,109.09,106.13,108.74,489447
2024-12-08,107.27,110.25,107.10,108.35,50000
2024-12-07,107.79,111.77,104.82,106.36,807787
2024-12-06,107.17,108.91,106.10,108.51,50000
2024-12-05,107.78,108.17,104.41,106.92,50000
2024-12-04,107.24,109.62,105.75,107.90,880565
2024-12-03,104.76,106.64,102.80,103.75,50000
2024-12-02,103.80,108.21,103.24,105.68,50000
2024-12-01,103.73,107.93,103.48,104.17,78084
2024-11-30,101.50,105.37,101.19,103.23,947044
2024-11-29,105.69,107.77,102.89,107.00,50000
2024-11-28,106.47,107.23,104.27,104.54,293136
2024-11-27,103.75,106.91,100.88,102.18,50000
2024-11-26,100.34,104.18,97.54,101.92,50000
2024-11-25,100.55,102.38,97.67,101.14,50000
2024-11-24,100.92,101.28,100.54,101.10,136880
2024-11-23,99.78,102.13,99.17,99.83,63173
