Date,Open,High,Low,Close,Volume
2025-03-02,526.20,530.52,512.06,521.74,543465
2025-03-01,515.70,531.21,511.47,525.70,637734
2025-02-28,504.22,525.65,496.36,522.81,221622
2025-02-27,516.86,528.82,512.26,528.42,50000
2025-02-26,540.04,541.98,524.45,529.17,50000
2025-02-25,526.04,538.95,508.84,529.45,50000
2025-02-24,536.69,538.27,511.30,523.00,308064
2025-02-23,527.09,542.32,507.14,527.72,50000
2025-02-22,522.47,559.66,510.31,537.29,50000
2025-02-21,541.49,554.23,538.60,546.80,553555
2025-02-20,547.14,555.54,508.94,525.25,50000
2025-02-19,513.96,542.04,492.35,527.35,86105
2025-02-18,507.20,520.97,494.17,495.74,50000
2025-02-17,482.45,514.15,468.07,486.80,50000
2025-02-16,496.44,499.24,486.30,493.84,50000
2025-02-15,490.94,498.25,472.31,477.76,50000
2025-02-14,479.16,481.39,463.69,469.69,773578
2025-02-13,483.30,487.30,481.03,485.01,183698
2025-02-12,501.55,522.33,490.74,518.65,50000
2025-02-11,515.79,533.55,501.65,525.41,801851
2025-02-10,539.22,553.85,522.05,527.89,838671
2025-02-09,532.22,532.58,512.55,530.53,50000
2025-02-08,530.01,538.22,526.19,528.33,50000
2025-02-07,521.76,546.83,508.81,537.46,139229
2025-02-06,537.34,550.92,526.82,545.55,884753
2025-02-05,543.97,574.34,529.18,550.05,50000
2025-02-04,543.64,560.72,512.31,534.19,418444
2025-02-03,546.78,553.68,518.76,539.78,70492
2025-02-02,560.76,578.95,559.45,571.66,58392
2025-02-01,579.10,594.21,557.63,582.56,50000
2025-01-31,557.43,567.21,526.11,562.84,219115
2025-01-30,567.97,576.90,548.30,554.21,50000
2025-01-29,553.82,574.95,532.52,561.74,772548
2025-01-28,552.09,573.43,544.93,571.73,50000
2025-01-27,573.63,583.97,558.41,574.46,50000
2025-01-26,554.87,555.32,539.43,542.52,1024372
2025-01-25,546.75,578.24,536.00,553.38,1330405
2025-01-24,537.04,559.92,514.05,527.90,211695
2025-01-23,530.65,534.62,518.40,526.72,425913
2025-01-22,546.93,572.32,532.63,536.28,68878
2025-01-21,538.47,544.78,521.59,524.69,86739
2025-01-20,517.44,520.68,494.88,496.40,50000
2025-01-19,501.79,509.62,477.98,484.82,1437002
2025-01-18,483.54,494.78,467.16,490.63,50000
2025-01-17,492.72,499.93,482.85,495.29,1205160
2025-01-16,509.26,518.38,493.61,514.87,869474
2025-01-15,505.61,533.96,503.23,528.37,1290892
2025-01-14,532.96,573.40,527.51,554.73,50000
2025-01-13,558.39,610.27,550.85,567.71,312846
2025-01-12,558.81,576.61,552.49,560.14,50000
2025-01-11,567.23,602.66,560.30,596.52,50000
2025-01-10,596.03,627.92,593.16,594.97,50000
2025-01-09,594.67,614.92,580.86,583.35,735503
2025-01-08,579.93,592.41,558.53,580.78,855772
2025-01-07,588.90,601.53,552.83,573.23,498344
2025-01-06,578.31,578.78,565.32,572.49,755556
2025-01-05,568.41,570.53,556.01,561.81,50000
2025-01-04,546.37,558.19,528.75,540.01,228738
2025-01-03,539.43,543.08,521.49,533.41,223638
2025-01-02,536.92,558.91,533.23,548.37,426639
2025-01-01,558.24,573.75,558.04,571.16,50458
2024-12-31,585.42,603.62,577.15,577.57,213168
2024-12-30,568.47,583.37,565.91,576.84,50000
2024-12-29,574.96,588.16,544.85,555.67,50000
2024-12-28,537.50,540.83,532.11,540.07,50000
2024-12-27,542.37,547.79,535.68,536.11,50000
2024-12-26,538.39,539.08,489.58,512.40,50000
2024-12-25,525.60,553.70,523.62,541.07,50000
2024-12-24,537.18,558.51,530.98,540.11,420857
2024-12-23,546.48,565.98,537.64,555.81,632668
2024-12-22,552.36,574.87,544.64,558.72,50000
2024-12-21,567.73,578.16,562.26,569.78,400275
2024-12-20,577.85,585.91,562.79,575.49,1020568
2024-12-19,582.93,594.12,569.67,578.48,50000
2024-12-18,575.33,576.82,572.36,575.76,388343
2024-12-17,575.18,601.30,568.10,583.22,130393
2024-12-16,592.28,593.80,577.17,584.14,572562
2024-12-15,582.49,611.58,566.13,590.82,337804
2024-12-14,579.34,587.75,557.36,573.38,50000
2024-12-13,577.28,598.89,566.96,597.66,228888
2024-12-12,603.30,643.84,589.90,624.81,238443
2024-12-11,622.84,635.25,619.14,625.64,50000
2024-12-10,602.42,603.90,588.44,596.33,50000
2024-12-09,587.68,593.23,565.55,567.90,50000
2024-12-08,573.66,590.51,556.71,571.34,850020
2024-12-07,582.54,603.08,573.96,602.48,645326
2024-12-06,618.82,636.96,613.26,616.67,401839
2024-12-05,603.78,617.24,593.46,601.14,50000
2024-12-04,602.87,629.16,602.80,621.41,50000
2024-12-03,609.70,623.02,602.07,605.02,145736
2024-12-02,602.78,613.60,597.15,599.94,50000
2024-12-01,595.10,613.77,594.50,603.77,290578
2024-11-30,602.46,604.00,586.19,589.06,50000
2024-11-29,590.42,633.48,585.75,609.60,666858
2024-11-28,607.48,614.14,558.20,582.97,50000
2024-11-27,568.53,593.16,568.24,586.46,50000
2024-11-26,587.45,599.22,565.87,589.07,450516
2024-11-25,602.61,635.96,599.84,624.41,50000
2024-11-24,639.70,645.37,617.68,631.80,317451
2024-11-23,605.00,629.66,589.51,598.60,298812
