Date,Open,High,Low,Close,Volume
2025-03-02,281.58,291.06,264.86,266.91,828664
2025-03-01,263.50,265.34,244.15,255.65,737265
2025-02-28,262.35,274.59,257.81,272.54,50000
2025-02-27,274.48,286.51,267.25,271.19,434495
2025-02-26,271.72,279.03,265.89,278.05,585324
2025-02-25,274.91,277.42,266.03,274.60,50000
2025-02-24,275.77,275.96,273.21,273.49,304003
2025-02-23,275.38,277.09,274.68,275.30,50000
2025-02-22,274.73,282.64,270.28,270.75,50000
2025-02-21,277.01,279.90,269.02,269.21,515552
2025-02-20,271.07,280.62,267.66,270.79,349766
2025-02-19,268.20,274.89,259.64,266.94,784140
2025-02-18,268.00,274.82,264.19,272.07,50000
2025-02-17,270.08,277.17,268.31,269.47,766504
2025-02-16,269.28,279.65,269.07,270.56,273191
2025-02-15,280.88,281.66,267.46,273.16,50725
2025-02-14,271.77,272.81,255.62,260.72,406205
2025-02-13,272.72,278.05,262.39,271.23,904889
2025-02-12,264.43,269.32,262.52,263.83,50000
2025-02-11,259.72,265.26,258.72,263.15,50000
2025-02-10,268.53,270.49,267.83,269.94,50000
2025-02-09,273.99,277.19,267.01,269.95,392267
2025-02-08,266.85,277.68,259.97,268.93,261876
2025-02-07,271.81,280.40,271.36,273.70,50000
2025-02-06,273.89,278.88,270.54,278.45,84911
2025-02-05,273.04,281.64,268.01,269.59,434432
2025-02-04,260.48,271.05,255.35,264.36,102648
2025-02-03,259.40,267.02,255.59,264.55,267788
2025-02-02,259.67,265.43,256.77,261.45,404608
2025-02-01,258.21,262.61,257.11,258.08,50000
2025-01-31,259.68,264.90,258.02,264.78,50000
2025-01-30,262.49,270.39,261.10,269.14,710322
2025-01-29,267.22,285.08,258.98,277.06,719994
2025-01-28,284.98,289.67,280.37,284.95,50000
2025-01-27,289.70,296.94,286.84,296.67,50000
2025-01-26,298.21,306.04,293.98,297.89,50000
2025-01-25,299.85,319.86,296.26,307.08,624843
2025-01-24,305.23,313.13,302.58,308.17,295453
2025-01-23,314.95,337.96,306.65,325.26,50000
2025-01-22,329.90,334.77,324.47,332.25,201473
2025-01-21,331.42,336.39,312.11,318.66,50000
2025-01-20,313.99,315.19,302.51,306.34,50000
2025-01-19,312.69,325.94,308.50,310.59,673402
2025-01-18,310.31,311.00,300.38,306.20,792066
2025-01-17,312.01,322.04,307.70,321.49,50000
2025-01-16,319.00,320.79,315.57,316.64,580562
2025-01-15,326.25,332.31,322.45,324.89,406436
2025-01-14,332.51,337.26,317.37,328.22,50000
2025-01-13,327.41,339.33,322.86,334.63,50000
2025-01-12,336.52,340.44,330.29,333.43,390764
2025-01-11,336.54,344.61,336.47,343.06,419446
2025-01-10,347.27,353.93,334.84,352.75,88490
2025-01-09,338.52,341.22,330.57,332.57,50000
2025-01-08,326.13,332.54,321.40,330.60,209942
2025-01-07,327.70,339.52,307.67,321.52,50000
2025-01-06,321.55,322.63,300.92,312.91,50000
2025-01-05,313.35,319.08,307.28,312.54,50000
2025-01-04,315.46,323.49,302.63,318.40,1557814
2025-01-03,318.32,326.28,302.10,309.03,50000
2025-01-02,301.01,310.70,295.51,305.28,50000
2025-01-01,303.72,308.16,300.81,306.19,536453
2024-12-31,306.53,313.67,290.71,301.18,50000
2024-12-30,298.28,300.65,286.56,289.40,260959
2024-12-29,276.13,289.45,275.45,283.97,50000
2024-12-28,283.03,288.09,273.93,277.27,302747
2024-12-27,280.87,286.42,275.83,280.10,50000
2024-12-26,275.87,286.65,274.65,285.45,715662
2024-12-25,280.88,288.40,277.75,288.20,309116
2024-12-24,284.99,286.31,278.37,285.34,82259
2024-12-23,283.58,287.02,277.09,277.48,170700
2024-12-22,290.76,295.70,289.65,289.83,607000
2024-12-21,292.42,307.03,286.22,303.23,50000
2024-12-20,301.73,302.16,286.31,298.90,50000
2024-12-19,301.98,306.91,292.80,304.62,1102483
2024-12-18,300.37,315.85,290.41,312.92,50000
2024-12-17,314.79,315.39,311.98,313.61,728150
2024-12-16,307.21,309.09,289.30,292.03,161740
2024-12-15,297.59,334.71,296.87,313.96,50000
2024-12-14,317.39,335.22,303.70,306.21,50000
2024-12-13,301.49,313.69,300.98,313.15,235386
2024-12-12,312.80,338.04,300.21,328.98,225665
2024-12-11,326.79,338.42,318.96,331.14,50000
2024-12-10,329.79,336.16,314.29,328.87,50000
2024-12-09,322.12,322.65,313.07,319.50,219501
2024-12-08,333.62,337.82,324.82,331.72,50000
2024-12-07,324.38,337.09,319.30,322.98,50000
2024-12-06,323.17,324.71,318.73,323.00,656594
2024-12-05,314.16,322.64,303.50,310.23,50000
2024-12-04,327.11,340.83,324.94,334.06,260553
2024-12-03,337.88,353.54,335.93,349.67,50000
2024-12-02,348.90,348.95,339.30,342.94,50000
2024-12-01,352.91,361.06,348.01,359.19,50000
2024-11-30,363.87,372.50,362.49,364.75,50000
2024-11-29,367.46,377.90,366.04,370.94,173731
2024-11-28,364.60,369.25,355.76,358.53,50000
2024-11-27,348.92,362.10,344.49,362.00,490797
2024-11-26,357.81,360.21,350.69,352.54,50000
2024-11-25,353.23,370.51,336.27,342.53,50000
2024-11-24,335.74,336.28,328.14,328.45,939313
2024-11-23,335.46,336.39,327.83,329.96,50000
