Date,Open,High,Low,Close,Volume
2025-03-02,522.46,526.75,519.84,522.38,694368
2025-03-01,533.88,534.47,527.47,531.73,418838
2025-02-28,544.12,547.10,538.43,541.86,419555
2025-02-27,546.33,551.76,537.67,542.35,281694
2025-02-26,553.64,560.59,551.99,557.08,727820
2025-02-25,564.41,567.94,559.85,561.20,322645
2025-02-24,548.98,550.15,543.55,549.04,270695
2025-02-23,536.06,538.79,530.04,535.23,517441
2025-02-22,538.79,544.50,535.49,540.23,195387
2025-02-21,539.60,543.73,530.45,534.51,143648
2025-02-20,544.22,546.78,541.25,544.98,530073
2025-02-19,546.67,550.75,544.82,550.73,150145
2025-02-18,560.68,566.78,555.16,565.31,409967
2025-02-17,572.64,577.57,564.84,567.95,596241
2025-02-16,564.06,568.92,553.25,558.76,471102
2025-02-15,555.53,558.73,548.59,550.48,470218
2025-02-14,550.59,551.34,547.54,549.74,160192
2025-02-13,542.09,543.52,541.28,543.49,540001
2025-02-12,546.29,548.34,541.44,544.06,343508
2025-02-11,531.47,532.74,525.45,527.41,386324
2025-02-10,522.14,526.61,520.07,522.76,557636
2025-02-09,527.03,530.42,522.32,524.14,929643
2025-02-08,531.90,532.48,526.87,530.49,510723
2025-02-07,518.57,520.08,513.64,516.27,566422
2025-02-06,509.37,514.15,509.29,511.99,917849
2025-02-05,507.82,516.06,505.88,511.53,821453
2025-02-04,502.77,509.34,498.28,505.95,445469
2025-02-03,510.95,514.50,510.83,512.57,525333
2025-02-02,521.93,529.23,520.10,525.10,628107
2025-02-01,534.47,544.14,532.83,539.19,210698
2025-01-31,525.75,528.68,519.33,522.85,771161
2025-01-30,521.73,523.41,516.81,522.94,732826
2025-01-29,535.45,536.99,530.91,535.24,223078
2025-01-28,542.14,542.46,537.83,538.89,263916
2025-01-27,548.11,552.75,544.88,550.94,666888
2025-01-26,548.55,557.74,545.49,552.64,531009
2025-01-25,544.68,551.83,539.64,547.05,481913
2025-01-24,540.67,545.44,538.63,540.97,897639
2025-01-23,537.60,538.75,527.61,532.77,236914
2025-01-22,540.86,544.59,539.97,540.76,459341
2025-01-21,534.11,536.14,533.61,533.80,334852
2025-01-20,537.38,542.49,532.68,533.03,793592
2025-01-19,528.47,531.63,524.61,528.25,219183
2025-01-18,540.90,542.35,535.05,539.24,810041
2025-01-17,528.13,530.17,524.06,527.03,931743
2025-01-16,515.66,516.28,507.85,510.61,709740
2025-01-15,500.51,504.76,493.96,497.46,636293
2025-01-14,488.87,492.50,481.75,485.05,991081
2025-01-13,477.41,479.48,471.64,475.74,567528
2025-01-12,469.97,472.64,464.10,466.17,647581
2025-01-11,468.64,469.48,463.89,464.32,439226
2025-01-10,472.97,480.17,471.87,477.43,884606
2025-01-09,484.41,486.81,480.04,484.88,235240
2025-01-08,474.27,478.59,470.56,471.58,299414
2025-01-07,473.56,478.19,470.02,471.10,970102
2025-01-06,459.84,461.23,453.81,457.15,506984
2025-01-05,453.95,457.65,453.73,454.24,909954
2025-01-04,463.93,472.67,461.33,468.00,786679
2025-01-03,471.65,472.19,469.29,471.91,432633
2025-01-02,472.52,473.05,465.14,468.56,708117
2025-01-01,457.84,459.61,454.25,456.26,792249
2024-12-31,466.70,473.68,463.92,469.74,397363
2024-12-30,480.39,488.39,480.00,483.88,417588
2024-12-29,481.54,486.76,477.74,482.73,199623
2024-12-28,475.70,482.32,471.86,477.98,715132
2024-12-27,479.85,482.87,471.79,475.24,880406
2024-12-26,467.58,472.08,464.65,466.44,359077
2024-12-25,460.44,463.32,456.83,458.71,452643
2024-12-24,454.99,461.31,453.58,457.16,768625
2024-12-23,466.80,472.18,466.06,468.88,986372
2024-12-22,479.20,482.07,474.28,479.07,247284
2024-12-21,475.19,477.26,474.08,476.68,701733
2024-12-20,465.66,468.02,465.65,466.54,549274
2024-12-19,458.34,463.37,457.18,461.22,204893
2024-12-18,457.92,457.96,456.14,457.79,939236
2024-12-17,461.46,465.53,455.62,458.22,821169
2024-12-16,457.18,460.26,451.32,455.37,692040
2024-12-15,447.97,454.54,444.65,452.19,872252
2024-12-14,449.36,454.34,448.96,451.31,501560
2024-12-13,455.92,456.43,451.12,451.76,840676
2024-12-12,461.66,466.05,460.54,463.20,784570
2024-12-11,465.06,466.78,458.64,460.49,843390
2024-12-10,461.38,464.23,458.69,462.29,832548
2024-12-09,460.45,465.49,457.01,463.07,368745
2024-12-08,465.51,470.54,462.99,466.58,522673
2024-12-07,457.45,459.37,453.45,456.42,602463
2024-12-06,456.95,459.40,452.42,455.08,846604
2024-12-05,446.80,448.33,440.94,442.81,187175
2024-12-04,449.06,451.42,444.38,446.31,856819
2024-12-03,436.84,437.22,431.91,435.79,702719
2024-12-02,439.61,443.27,435.84,438.52,737532
2024-12-01,439.41,446.98,439.07,442.59,758903
2024-11-30,434.36,437.17,429.07,431.15,718969
2024-11-29,428.28,432.42,426.24,431.05,271780
2024-11-28,438.54,444.14,436.18,441.51,698725
2024-11-27,445.10,447.97,443.10,446.04,379698
2024-11-26,444.27,450.13,444.13,445.80,222456
2024-11-25,450.66,456.71,450.48,452.80,673304
2024-11-24,454.14,455.82,449.06,449.99,346640
2024-11-23,456.98,461.59,453.29,459.81,608328
